"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1985-01-01,NA,NA,36.3,NA,NA,NA,NA,1.2,NA,34.2,33.2,NA,54.2,24.6,15.5,NA,51.1,41.1,NA,NA,NA,NA,NA,-8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5
1985-02-01,NA,NA,36.3,NA,NA,NA,NA,1.2,NA,35.7,34.7,NA,54.2,26.8,15.5,NA,51.1,43.9,NA,NA,NA,NA,NA,-8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5
1985-03-01,NA,NA,36.3,NA,NA,NA,NA,1.2,NA,35.2,34.2,NA,54.2,22.4,15.5,NA,51.1,48.2,NA,NA,NA,NA,NA,-8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5
1985-04-01,NA,NA,37.3,NA,NA,NA,NA,1.8,NA,31.1,30.3,NA,44.5,20.1,3.8,NA,45.1,43.6,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1985-05-01,NA,NA,37.3,NA,NA,NA,NA,1.8,NA,31.3,30.5,NA,44.5,20.5,3.8,NA,45.1,43.9,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1985-06-01,NA,NA,37.3,NA,NA,NA,NA,1.8,NA,32.6,31.7,NA,44.5,24.2,3.8,NA,45.1,43.5,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
1985-07-01,NA,NA,35.5,NA,NA,NA,NA,-5,NA,33.3,32.1,NA,48.1,25.1,3.8,NA,44.5,42.2,NA,NA,NA,NA,NA,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
1985-08-01,NA,NA,35.5,NA,NA,NA,NA,-5,NA,33.8,32.7,NA,48.1,26.6,3.8,NA,44.5,42.2,NA,NA,NA,NA,NA,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
1985-09-01,NA,NA,35.5,NA,NA,NA,NA,-5,NA,32.6,31.5,NA,48.1,22.7,3.8,NA,44.5,43.2,NA,NA,NA,NA,NA,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
1985-10-01,NA,NA,23.3,NA,NA,NA,NA,-12,NA,31.5,30.2,NA,42.4,21,23.4,NA,42.9,47.1,NA,NA,NA,NA,NA,-2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5
