Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2007,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,,,,,
Median,2.4,2.3,2.3,2.2,2.1,1.6,1.9,,,,,
Mean,2.3,2.3,2.2,2.1,2.0,1.7,1.9,,,,,
Mode,2.4,2.5,2.1,2.3,2.1,1.5,1.9,,,,,
Min,1.4,1.5,1.4,1.3,1.2,1.1,1.6,,,,,
Max,3.0,2.7,2.8,2.6,2.5,2.2,2.2,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,20 ,,,,,
Contributor,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,,,,,
BayernLB,2.5,2.5,--,2.5,2.5,2.2,--,,,,,
Berliner Spark,--,--,--,--,--,1.2,2.0,,,,,
Bnk Amer London,2.4,2.4,2.3,2.1,2.1,1.5,2.0,,,,,
Citigroup,2.5,2.7,2.8,2.5,2.1,1.5,1.8,,,,,
Commerzbank UK,1.6,2.4,2.6,2.1,1.2,1.4,1.8,,,,,
Credit Suisse,--,--,2.1,--,--,1.7,--,,,,,
DIW Berlin,--,--,2.4,--,2.1,--,--,,,,,
DekaBank,2.3,2.2,2.0,2.6,--,2.2,1.9,,,,,
Deutsche Bank,2.2,2.3,2.1,--,1.8,1.3,1.9,,,,,
Dresdner Bk,2.6,2.6,2.6,2.2,--,--,1.9,,,,,
EssenHyp,--,--,1.4,--,--,--,--,,,,,
Eurozone Advisor,--,--,--,--,1.8,1.9,2.1,,,,,
Goldman Sachs,--,2.1,--,--,--,--,--,,,,,
HSBC Hldg,2.0,2.0,1.8,1.7,1.4,1.6,1.8,,,,,
Helaba,2.6,2.6,2.2,2.3,2.4,--,--,,,,,
IHS Global Insight,2.4,--,2.4,2.2,2.3,--,1.9,,,,,
IfW,2.2,--,2.1,--,2.1,--,1.8,,,,,
Julius Baer,--,--,--,2.3,2.0,1.9,--,,,,,
LBBW,2.7,2.5,2.5,2.3,2.3,2.0,2.2,,,,,
Landesbank Hldg,2.3,2.2,1.7,--,--,--,--,,,,,
NORD/LB,2.1,2.2,--,1.8,--,2.0,2.0,,,,,
Nomura,1.9,2.3,--,--,--,--,--,,,,,
ODDO BHF,--,1.9,2.0,1.9,1.8,1.6,2.1,,,,,
Oppenheim,--,--,--,--,--,1.8,--,,,,,
Portigon,2.7,2.5,2.5,2.3,1.9,1.6,1.6,,,,,
Postbank,2.7,--,2.7,--,2.4,1.8,--,,,,,
Rheinisch Westfa,--,--,2.1,1.8,--,--,--,,,,,
Sal Oppenheim,2.4,2.3,2.5,2.2,2.3,--,1.9,,,,,
Skand Ensk Bank,3.0,2.5,2.6,2.2,--,1.7,1.9,,,,,
UFJ Holdings,1.4,--,--,--,--,--,--,,,,,
Uni Credit,--,--,--,--,1.9,1.5,2.0,,,,,
UniCredt Bnk,2.6,2.3,2.3,2.3,--,--,--,,,,,
Union Investment,--,--,--,2.4,1.5,1.5,--,,,,,
WH,2.3,--,--,--,2.3,--,1.9,,,,,
,,,,,,,,,,,,
