Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Jul-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,,,,,,
Median,1.5,1.5,1.6,1.9,2.1,2.7,,,,,,
Mean,1.3,1.5,1.6,1.9,2.1,2.6,,,,,,
Mode,1.5,1.5,1.7,2.0,1.9,2.7,,,,,,
Min,0.8,0.5,0.9,1.6,1.7,2.1,,,,,,
Max,1.5,2.2,2.5,2.2,2.4,3.0,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,18 ,,,,,,
Contributor,05-Jul-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,,,,,,
BayernLB,--,1.8,2.3,--,--,3.0,,,,,,
Berliner Spark,--,--,1.5,2.0,--,--,,,,,,
Bnk Amer London,--,1.2,1.4,1.8,--,--,,,,,,
CA CIB,--,--,--,--,--,2.6,,,,,,
Citigroup,--,--,1.2,1.6,2.1,--,,,,,,
Commerzbank UK,0.8,0.5,1.1,1.8,2.0,2.5,,,,,,
Credit Suisse,--,--,1.8,--,--,--,,,,,,
DIW Berlin,--,1.5,--,--,--,--,,,,,,
DZ Bank,--,--,--,--,--,2.5,,,,,,
DekaBank,--,--,1.8,1.7,1.9,2.8,,,,,,
Deutsche Bank,--,1.3,1.4,1.7,2.4,2.7,,,,,,
Dresdner Bk,--,--,--,2.0,2.0,--,,,,,,
Eurozone Advisor,--,1.5,1.7,1.7,--,2.1,,,,,,
HSBC Hldg,--,1.0,1.7,1.9,--,2.6,,,,,,
Helaba,--,1.7,--,--,1.9,--,,,,,,
IHS Global Insight,1.5,1.5,--,1.6,1.9,2.4,,,,,,
IfW,--,1.5,--,2.0,--,--,,,,,,
Julius Baer,--,2.2,2.5,--,--,--,,,,,,
LBBW,1.5,1.5,1.5,1.7,2.1,--,,,,,,
Landesbank Hldg,1.4,--,--,--,--,--,,,,,,
NORD/LB,--,--,1.4,2.2,2.1,--,,,,,,
ODDO BHF,1.5,1.6,1.7,2.1,2.3,2.7,,,,,,
Oppenheim,--,--,2.0,--,--,--,,,,,,
Portigon,--,1.3,1.8,1.9,2.4,2.8,,,,,,
Postbank,--,--,1.5,--,1.7,2.5,,,,,,
Sal Oppenheim,--,1.6,--,2.0,2.3,2.8,,,,,,
Skand Ensk Bank,--,--,--,2.0,2.2,2.7,,,,,,
Uni Credit,--,1.9,1.7,2.2,2.3,2.7,,,,,,
UniCredt Bnk,1.2,--,--,--,--,--,,,,,,
Union Investment,--,1.1,1.1,--,2.4,2.8,,,,,,
WH,--,--,--,1.8,2.3,2.7,,,,,,
ZBW,--,--,--,--,2.0,--,,,,,,
,,,,,,,,,,,,
