Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,,,,,,
Median,1.5,1.5,1.6,1.9,2.7,2.4,,,,,,
Mean,1.5,1.6,1.6,2.1,2.7,2.4,,,,,,
Mode,1.3,1.2,1.6,1.9,2.5,2.3,,,,,,
Min,1.2,1.2,1.0,1.7,2.3,2.2,,,,,,
Max,2.0,2.3,2.1,2.7,3.1,2.8,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,14 ,,,,,,
Contributor,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,,,,,,
BayernLB,--,--,1.7,--,--,--,,,,,,
Berliner Spark,1.4,--,--,--,--,--,,,,,,
Bnk Amer London,1.3,--,--,--,--,--,,,,,,
CA CIB,--,--,1.3,--,--,--,,,,,,
Citigroup,1.3,1.2,--,1.8,--,--,,,,,,
Commerzbank UK,1.2,1.3,1.3,2.3,3.1,--,,,,,,
DIW Berlin,--,--,--,2.3,2.5,2.7,,,,,,
DZ Bank,--,--,1.6,--,--,--,,,,,,
DekaBank,1.3,1.2,1.3,1.7,2.5,2.4,,,,,,
Deutsche Bank,1.5,1.8,1.6,2.7,--,--,,,,,,
Dresdner Bk,1.6,1.4,--,--,--,--,,,,,,
Eurozone Advisor,1.9,--,1.8,--,2.8,2.7,,,,,,
HSBC Hldg,1.3,--,1.0,1.9,2.9,2.4,,,,,,
Helaba,--,1.2,--,1.9,2.6,2.6,,,,,,
IHS Global Insight,1.3,1.3,1.3,1.7,2.7,2.3,,,,,,
IfW,2.0,--,--,--,--,--,,,,,,
LBBW,1.8,2.3,--,--,--,--,,,,,,
MM Warburg,--,--,--,--,2.7,2.3,,,,,,
NORD/LB,1.5,1.5,--,--,2.3,2.5,,,,,,
ODDO BHF,1.7,1.6,1.6,2.1,2.7,--,,,,,,
Portigon,1.5,1.9,1.8,2.4,2.8,2.2,,,,,,
Postbank,--,1.9,1.8,--,--,--,,,,,,
Sal Oppenheim,1.7,1.5,1.6,2.0,2.3,2.3,,,,,,
Skand Ensk Bank,1.7,1.9,1.6,2.7,2.4,2.3,,,,,,
Uni Credit,1.5,1.8,1.7,1.9,2.5,2.4,,,,,,
Union Investment,--,2.2,2.1,--,3.0,2.8,,,,,,
WH,1.8,1.8,1.9,1.9,2.9,--,,,,,,
ZBW,--,1.5,--,--,2.8,--,,,,,,
,,,,,,,,,,,,
