Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,,,,,
Median,1.8,1.7,1.0,0.4,0.5,0.3,0.4,,,,,
Mean,1.9,1.8,1.0,0.5,0.5,0.3,0.4,,,,,
Mode,1.7,1.7,1.0,0.4,0.5,0.3,0.4,,,,,
Min,1.2,1.3,0.5,0.1,0.1,0.1,0.1,,,,,
Max,2.8,2.8,1.9,1.2,1.0,0.7,0.7,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,12 ,,,,,
Contributor,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,,,,,
BayernLB,1.2,1.6,1.3,0.6,--,--,0.4,,,,,
Berliner Spark,--,--,--,--,0.7,0.2,--,,,,,
Citigroup,--,--,--,0.2,--,--,--,,,,,
Commerzbank UK,2.0,--,0.7,--,0.5,0.3,0.4,,,,,
DIW Berlin,2.2,2.0,1.0,0.6,--,--,--,,,,,
DekaBank,2.2,2.2,--,0.7,0.5,0.3,0.4,,,,,
Deutsche Bank,--,--,1.1,--,--,--,--,,,,,
Eurozone Advisor,2.0,1.7,0.9,0.4,0.4,0.3,0.5,,,,,
HSBC Hldg,1.8,2.0,1.3,1.1,1.0,0.6,--,,,,,
Helaba,2.8,2.8,--,1.1,0.8,0.4,--,,,,,
IHS Global Insight,1.8,1.7,0.7,0.4,0.6,0.4,0.4,,,,,
Julius Baer,--,--,1.9,0.3,--,--,--,,,,,
Kiel Economics,--,--,--,--,--,--,0.3,,,,,
LBBW,--,--,--,--,0.3,0.3,--,,,,,
MM Warburg,1.7,1.6,--,--,--,--,--,,,,,
NORD/LB,1.7,1.7,1.0,0.4,0.5,--,--,,,,,
ODDO BHF,1.7,--,0.8,0.1,--,0.2,0.4,,,,,
Portigon,1.8,1.7,--,0.5,0.6,0.4,--,,,,,
Postbank,--,--,1.0,0.8,0.8,0.5,--,,,,,
Rheinisch Westfa,--,--,0.5,--,0.4,--,0.4,,,,,
Sal Oppenheim,1.5,1.3,0.8,0.1,--,0.1,--,,,,,
Skand Ensk Bank,1.8,1.8,1.1,0.5,0.4,0.3,--,,,,,
Uni Credit,1.4,1.9,1.6,1.2,--,--,0.4,,,,,
UniCredt Bnk,--,--,--,--,--,0.2,--,,,,,
Union Investment,1.7,1.7,1.0,0.4,0.5,0.7,0.7,,,,,
WH,2.2,--,1.0,0.3,--,0.1,0.1,,,,,
ZBW,1.9,--,--,0.1,0.1,0.1,0.4,,,,,
,,,,,,,,,,,,
