Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,,,,
Median,1.3,1.1,1.2,1.0,1.2,1.0,1.1,1.2,,,,
Mean,1.5,1.1,1.3,1.0,1.1,1.1,1.2,1.2,,,,
Mode,1.3,1.0,0.9,1.0,1.2,1.0,1.1,1.2,,,,
Min,1.0,0.3,0.8,0.2,0.3,0.6,0.9,1.1,,,,
Max,2.3,1.9,1.9,1.8,1.7,1.5,1.4,1.3,,,,
Standard Deviation,--,--,--,--,--,--,--,0.0,,,,
# Forecasts,--,--,--,--,--,--,--,17 ,,,,
Contributor,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,,,,
BayernLB,--,--,--,--,--,--,--,1.2,,,,
Berliner Spark,--,--,1.9,1.0,--,--,--,--,,,,
Citigroup,--,0.8,--,--,--,--,1.4,1.2,,,,
Commerzbank UK,2.3,--,1.6,0.9,0.8,0.7,1.4,--,,,,
DIW Berlin,--,1.1,--,--,--,--,1.3,1.2,,,,
DZ Bank,--,--,--,--,--,1.3,--,--,,,,
DekaBank,--,1.3,1.3,1.2,1.2,1.3,0.9,1.2,,,,
Deutsche Bank,--,--,--,--,0.9,--,--,--,,,,
Eurozone Advisor,1.3,1.3,1.2,1.0,1.3,1.0,1.0,1.3,,,,
HSBC Hldg,1.8,1.0,0.8,0.7,--,1.0,--,--,,,,
Helaba,--,1.2,1.8,1.8,--,--,1.4,1.2,,,,
IHS Global Insight,1.1,1.1,1.2,1.3,1.5,1.4,1.1,1.2,,,,
Julius Baer,2.1,1.4,--,--,--,--,--,--,,,,
Kiel Economics,--,--,--,--,0.7,--,--,--,,,,
LBBW,--,--,1.4,1.4,--,--,--,--,,,,
NORD/LB,1.4,1.3,1.5,--,--,1.0,1.1,1.2,,,,
ODDO BHF,1.3,0.7,--,0.2,1.3,1.2,1.0,1.3,,,,
Portigon,--,1.0,1.0,0.9,--,1.1,1.2,1.2,,,,
Postbank,--,--,1.4,1.4,1.7,--,--,--,,,,
Rheinisch Westfa,--,--,0.9,--,1.0,0.9,1.2,1.2,,,,
Sal Oppenheim,1.2,1.0,--,0.8,1.2,1.5,1.2,1.2,,,,
Skand Ensk Bank,--,0.9,0.9,1.1,--,--,1.1,1.2,,,,
Uni Credit,--,1.8,--,--,1.0,1.0,1.1,--,,,,
UniCredt Bnk,--,--,--,0.8,--,--,--,--,,,,
Union Investment,1.0,1.0,1.0,1.0,1.4,--,1.1,1.2,,,,
WH,1.1,0.3,--,0.2,0.3,0.6,--,1.1,,,,
ZBW,--,1.2,0.9,0.8,1.2,1.3,--,1.2,,,,
,,,,,,,,,,,,
