Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,,,,
Median,1.3,1.3,1.2,1.1,1.0,1.3,1.2,1.5,,,,
Mean,1.2,1.3,1.1,1.1,1.1,1.3,1.3,1.5,,,,
Mode,1.5,1.3,1.3,1.1,0.9,1.2,1.2,1.5,,,,
Min,0.4,0.5,0.0,0.4,0.5,0.7,0.9,1.2,,,,
Max,2.1,2.2,1.9,1.9,1.5,2.0,1.9,1.6,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,19 ,,,,
Contributor,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,,,,
BayernLB,--,--,--,--,--,--,1.2,1.5,,,,
Berliner Spark,--,2.1,1.5,--,--,--,--,--,,,,
Citigroup,0.8,--,--,--,--,2.0,1.9,--,,,,
Commerzbank UK,--,1.7,1.3,1.0,0.9,1.6,--,1.5,,,,
DIW Berlin,1.3,--,--,--,--,1.7,1.3,1.2,,,,
DZ Bank,--,--,--,--,1.4,--,--,--,,,,
DekaBank,1.4,1.3,1.1,1.1,1.1,0.7,1.2,1.5,,,,
Deutsche Bank,--,--,--,0.4,--,--,--,--,,,,
Eurozone Advisor,1.5,1.3,1.5,1.5,1.0,1.5,1.6,1.5,,,,
HSBC Hldg,0.8,0.5,0.7,--,0.9,--,--,1.5,,,,
Helaba,1.8,2.2,1.9,--,--,1.4,1.4,1.5,,,,
IHS Global Insight,1.2,1.3,1.3,1.3,1.3,1.1,1.1,1.5,,,,
IfW,--,--,--,--,--,--,--,1.5,,,,
Julius Baer,1.5,--,--,--,--,--,--,--,,,,
Kiel Economics,--,--,--,0.8,--,--,--,--,,,,
LBBW,--,1.6,1.6,--,--,--,--,--,,,,
NORD/LB,1.5,1.6,--,--,1.1,1.3,1.3,1.6,,,,
ODDO BHF,1.0,--,0.0,1.1,0.9,0.8,0.9,1.5,,,,
Portigon,1.1,1.0,0.9,--,1.0,1.2,1.1,--,,,,
Postbank,--,1.4,1.7,1.9,--,--,--,--,,,,
Rheinisch Westfa,--,0.8,--,1.0,0.7,1.2,1.4,1.4,,,,
Sal Oppenheim,1.2,--,1.2,1.2,1.5,1.2,1.2,1.5,,,,
Skand Ensk Bank,1.0,0.8,1.0,--,--,0.8,1.1,1.5,,,,
Uni Credit,1.8,--,--,1.4,1.4,1.6,--,1.6,,,,
UniCredt Bnk,--,--,1.3,--,--,--,--,--,,,,
Union Investment,0.7,0.7,0.7,1.4,--,1.5,1.5,1.6,,,,
WH,0.4,--,0.3,0.4,0.5,--,1.3,1.4,,,,
ZBW,1.3,1.0,1.0,1.1,1.2,--,1.1,1.5,,,,
,,,,,,,,,,,,
