Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,,,,
Median,1.3,1.3,1.1,1.3,1.3,1.4,1.8,2.1,,,,
Mean,1.4,1.1,1.1,1.2,1.4,1.5,1.8,2.1,,,,
Mode,--,--,0.9,1.3,1.3,1.4,1.7,2.1,,,,
Min,1.0,0.1,0.4,0.9,0.7,1.0,1.3,2.0,,,,
Max,2.1,1.5,1.6,1.5,2.4,2.1,2.2,2.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.0,,,,
# Forecasts,--,--,--,--,--,--,--,19 ,,,,
Contributor,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,,,,
BayernLB,--,--,--,--,--,1.4,1.6,2.1,,,,
Berliner Spark,2.1,1.5,--,--,--,--,--,--,,,,
Citigroup,--,--,--,--,2.4,2.1,--,--,,,,
Commerzbank UK,--,--,0.9,1.2,1.9,--,1.9,2.1,,,,
DIW Berlin,--,--,--,--,1.6,1.4,1.3,2.1,,,,
DZ Bank,--,--,--,1.3,--,--,--,--,,,,
DekaBank,--,--,1.1,1.3,0.7,1.3,1.8,2.1,,,,
Deutsche Bank,--,--,0.4,--,--,--,--,--,,,,
Eurozone Advisor,1.4,1.4,1.4,1.0,1.2,1.7,1.7,2.1,,,,
HSBC Hldg,--,--,--,1.0,--,--,1.7,2.1,,,,
Helaba,--,--,--,--,1.3,1.7,1.8,2.1,,,,
IHS Global Insight,1.3,1.3,1.3,1.4,1.3,1.3,2.0,2.1,,,,
IfW,--,--,--,--,--,--,2.1,2.1,,,,
Kiel Economics,--,--,0.9,--,--,--,--,--,,,,
LBBW,--,--,--,--,--,--,--,2.1,,,,
NORD/LB,--,--,--,1.4,1.5,1.5,1.8,--,,,,
ODDO BHF,--,0.1,0.8,1.0,0.9,1.0,1.9,2.1,,,,
Portigon,--,--,--,1.2,1.2,1.4,--,2.1,,,,
Postbank,--,--,--,--,--,--,--,2.1,,,,
Rheinisch Westfa,--,--,--,1.0,1.3,1.6,1.7,2.1,,,,
Sal Oppenheim,--,--,1.4,1.5,1.3,1.3,1.7,2.1,,,,
Skand Ensk Bank,1.0,0.8,--,--,0.9,1.2,2.1,--,,,,
Uni Credit,--,--,1.0,1.3,1.8,--,2.2,--,,,,
Union Investment,--,--,1.5,--,1.5,1.6,1.6,2.1,,,,
WH,--,--,0.5,0.9,--,1.4,1.6,2.0,,,,
ZBW,1.2,1.2,1.2,1.3,--,1.3,1.7,2.1,,,,
,,,,,,,,,,,,
