Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,,,,
Median,1.3,1.3,1.2,1.4,1.4,1.7,2.3,2.4,,,,
Mean,1.1,1.2,1.2,1.3,1.4,1.7,2.3,2.4,,,,
Mode,1.4,1.5,1.0,1.4,1.4,1.7,2.1,2.3,,,,
Min,0.6,0.5,1.0,0.8,1.1,1.4,2.1,2.2,,,,
Max,1.4,1.7,1.5,1.9,1.8,2.5,2.5,2.5,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,18 ,,,,
Contributor,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,,,,
Banco Santander,--,--,--,--,--,--,--,2.4,,,,
BayernLB,--,--,--,--,1.4,1.4,2.3,--,,,,
Berliner Spark,1.4,--,--,--,--,--,--,--,,,,
Citigroup,--,--,--,1.9,1.8,--,--,--,,,,
Commerzbank UK,--,1.1,1.3,1.7,--,1.6,2.1,2.3,,,,
DIW Berlin,--,--,--,1.6,1.5,1.4,2.1,2.4,,,,
DZ Bank,--,--,1.2,--,--,--,--,--,,,,
DekaBank,--,1.3,1.2,1.0,1.7,2.2,2.3,2.5,,,,
Deutsche Bank,--,0.6,--,--,--,--,--,--,,,,
Eurozone Advisor,1.3,1.3,1.2,1.2,1.5,1.7,2.4,2.3,,,,
HSBC Hldg,--,--,1.0,--,--,1.5,2.2,2.5,,,,
Helaba,--,--,--,1.4,1.7,1.7,2.1,2.4,,,,
IHS Global Insight,1.4,1.4,1.5,1.3,1.3,2.0,2.5,2.3,,,,
IfW,--,--,--,--,--,2.5,2.2,2.4,,,,
Kiel Economics,--,1.1,--,--,--,--,--,--,,,,
LBBW,--,--,--,--,--,--,2.2,--,,,,
NORD/LB,--,--,1.4,1.4,1.3,1.6,--,2.5,,,,
ODDO BHF,0.6,1.0,1.0,0.9,1.1,2.0,2.4,2.3,,,,
Portigon,--,--,1.4,1.2,1.3,--,2.5,2.3,,,,
Postbank,--,--,--,--,--,--,2.4,2.3,,,,
Rheinisch Westfa,--,--,1.1,1.3,1.5,1.5,2.4,2.3,,,,
Sal Oppenheim,--,1.5,1.5,1.4,1.4,1.6,2.5,2.3,,,,
Skand Ensk Bank,0.8,--,--,0.8,1.1,1.9,--,--,,,,
Uni Credit,--,1.2,1.0,1.6,--,1.9,--,--,,,,
Union Investment,--,1.7,--,1.7,1.6,1.7,2.2,2.2,,,,
WH,--,0.5,1.0,--,1.4,1.5,2.3,--,,,,
ZBW,1.3,1.4,1.4,--,1.4,1.7,2.3,2.4,,,,
,,,,,,,,,,,,
