Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,,,,
Median,1.7,1.8,1.9,1.8,1.9,2.0,1.7,1.5,,,,
Mean,1.7,1.8,1.9,1.8,1.9,2.0,1.7,1.5,,,,
Mode,1.7,1.7,1.9,1.5,2.0,2.0,1.6,1.5,,,,
Min,1.7,1.3,1.4,1.3,1.5,1.6,1.4,1.4,,,,
Max,1.8,2.1,2.6,2.4,2.1,2.5,2.3,1.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,15 ,,,,
Contributor,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,,,,
Banco Santander,--,1.7,1.7,1.7,2.1,--,1.8,1.5,,,,
BayernLB,--,1.7,--,--,1.6,--,1.7,1.5,,,,
Berenberg,--,1.8,1.9,1.5,--,--,1.5,1.5,,,,
Bkhaus Lampe,--,--,1.9,--,2.1,2.1,--,1.5,,,,
Citigroup,--,--,--,--,--,--,1.8,--,,,,
Commerzbank UK,--,1.7,2.0,1.9,1.8,--,1.6,1.5,,,,
DIW Berlin,--,2.1,1.9,1.8,--,--,1.5,1.5,,,,
DZ Bank,--,--,--,--,--,2.1,--,1.5,,,,
DekaBank,--,1.7,2.2,2.4,1.9,2.0,1.7,1.5,,,,
Eurozone Advisor,1.7,1.5,1.5,1.5,1.5,1.7,1.4,1.5,,,,
HSBC Hldg,--,2.0,1.8,--,2.0,--,2.0,1.5,,,,
Helaba,--,1.8,--,--,2.1,2.0,--,--,,,,
IHS Global Insight,1.7,1.3,1.4,--,1.8,2.0,--,1.6,,,,
IfW,--,--,2.3,--,--,2.0,--,--,,,,
NORD/LB,--,2.0,1.9,--,--,--,--,--,,,,
ODDO BHF,1.8,1.8,1.8,--,1.8,--,1.6,--,,,,
Portigon,--,1.7,--,--,--,--,--,--,,,,
Postbank,--,--,--,2.0,--,--,--,--,,,,
Rheinisch Westfa,--,--,1.9,1.6,2.0,1.8,1.6,1.4,,,,
Sal Oppenheim,--,1.9,1.8,--,2.0,2.5,2.3,1.5,,,,
Union Investment,--,2.1,2.1,--,1.7,--,2.2,1.8,,,,
WH,--,1.4,2.6,--,--,2.0,1.7,--,,,,
ZBW,1.7,--,1.6,1.8,2.0,2.0,1.5,1.4,,,,
,,,,,,,,,,,,
