Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2014,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,,,,,
Median,1.9,2.1,1.9,1.7,1.7,1.5,1.2,,,,,
Mean,1.8,2.0,1.8,1.7,1.7,1.5,1.3,,,,,
Mode,--,2.1,1.9,1.9,1.7,1.4,1.2,,,,,
Min,1.5,1.4,1.4,1.0,1.5,1.1,1.0,,,,,
Max,2.1,2.5,2.6,2.0,1.8,1.7,1.5,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,11 ,,,,,
Contributor,03-Oct-2012,02-Jan-2013,03-Apr-2013,03-Jul-2013,02-Oct-2013,01-Jan-2014,09-Apr-2014,,,,,
Banco Santander,--,--,1.9,1.7,--,1.6,1.2,,,,,
BayernLB,--,--,1.9,2.0,1.8,1.4,1.2,,,,,
Berenberg,--,--,1.5,1.6,1.6,1.5,--,,,,,
Berliner Spark,--,--,--,--,--,1.2,1.2,,,,,
Bkhaus Lampe,--,2.1,--,1.9,--,--,--,,,,,
Citigroup,--,--,2.2,--,--,1.4,--,,,,,
Commerzbank UK,2.0,--,2.0,1.8,--,--,--,,,,,
DIW Berlin,--,--,1.8,1.8,--,1.6,1.3,,,,,
DZ Bank,--,2.5,--,1.8,1.8,--,--,,,,,
DekaBank,--,1.8,1.6,1.9,--,--,1.5,,,,,
Eurozone Advisor,1.8,1.9,1.4,1.7,1.7,1.7,1.0,,,,,
HSBC Hldg,--,--,2.1,1.9,--,--,--,,,,,
Helaba,--,2.2,--,--,--,1.7,--,,,,,
IHS Global Insight,1.5,1.4,--,1.4,1.7,--,1.2,,,,,
IfW,--,2.4,--,--,--,--,1.3,,,,,
LBBW,--,--,--,--,--,1.6,--,,,,,
NORD/LB,--,--,--,--,--,1.4,--,,,,,
ODDO BHF,1.9,--,1.6,--,--,--,--,,,,,
Rheinisch Westfa,--,--,1.9,1.6,1.6,1.5,1.4,,,,,
Sal Oppenheim,--,2.4,2.6,1.6,--,--,--,,,,,
Union Investment,--,--,1.6,1.0,1.5,1.1,--,,,,,
WH,--,1.9,1.7,--,1.7,1.3,1.3,,,,,
ZBW,2.1,2.1,2.0,1.7,1.7,1.5,1.2,,,,,
,,,,,,,,,,,,
