Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,,,,,,,
Median,1.5,1.6,1.6,1.2,0.8,,,,,,,
Mean,1.5,1.6,1.6,1.1,0.8,,,,,,,
Mode,1.5,1.5,1.5,1.0,0.6,,,,,,,
Min,1.0,1.0,0.7,0.5,0.4,,,,,,,
Max,2.0,2.3,2.1,1.6,1.4,,,,,,,
Standard Deviation,--,--,--,--,0.3,,,,,,,
# Forecasts,--,--,--,--,17 ,,,,,,,
Contributor,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,,,,,,,
BMO,--,1.4,--,0.8,0.9,,,,,,,
Barclays,--,1.4,--,1.0,--,,,,,,,
Berenberg,1.2,--,--,--,--,,,,,,,
Berliner Spark,1.5,1.5,1.5,1.3,0.4,,,,,,,
BofAML,--,--,1.5,--,--,,,,,,,
CA CIB,--,1.9,--,1.3,--,,,,,,,
Commerzbank UK,--,2.3,--,--,--,,,,,,,
DIW Berlin,1.5,--,--,--,--,,,,,,,
DZ Bank,--,--,1.7,1.0,--,,,,,,,
DekaBank,1.6,1.8,1.8,1.0,0.6,,,,,,,
Eurozone Advisor,1.5,1.0,0.7,0.5,0.5,,,,,,,
HSBC Hldg,--,1.7,1.8,1.3,--,,,,,,,
HWWI,--,--,1.3,1.2,--,,,,,,,
Helaba,--,1.7,1.5,1.1,0.8,,,,,,,
IHS Global Insight,2.0,2.0,2.1,1.6,0.9,,,,,,,
ING Fin Mkts,--,--,1.7,--,0.6,,,,,,,
Intesa Sanpaolo,--,--,--,--,1.2,,,,,,,
NORD/LB,1.7,1.6,--,--,0.9,,,,,,,
ODDO BHF,--,1.5,--,--,0.5,,,,,,,
Oppenheim,--,--,--,--,0.6,,,,,,,
RGE,--,--,--,--,0.6,,,,,,,
Rheinisch Westfa,--,1.7,1.8,1.4,1.0,,,,,,,
Societe Generale,--,1.5,1.9,--,0.9,,,,,,,
TD Economics,--,--,--,--,1.4,,,,,,,
Uni Credit,--,1.5,1.5,1.2,0.8,,,,,,,
Union Investment,1.0,--,--,--,--,,,,,,,
WH,1.5,1.2,1.1,0.9,0.8,,,,,,,
,,,,,,,,,,,,
