Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q2 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,,,,,,
Median,1.6,1.6,1.5,1.0,0.7,0.1,,,,,,
Mean,1.5,1.6,1.5,1.0,0.7,0.1,,,,,,
Mode,1.2,1.6,1.5,0.8,0.6,0.0,,,,,,
Min,1.1,1.1,1.0,0.5,0.0,-0.2,,,,,,
Max,1.8,2.3,1.9,1.4,1.4,0.7,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,16 ,,,,,,
Contributor,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,,,,,,
BMO,--,1.3,--,0.5,0.6,0.2,,,,,,
Barclays,--,1.5,--,0.8,--,--,,,,,,
Berenberg,1.2,--,--,--,--,--,,,,,,
Berliner Spark,1.8,1.6,1.4,1.1,0.1,-0.1,,,,,,
BofAML,--,--,1.3,--,--,--,,,,,,
CA CIB,--,1.6,--,1.0,--,0.0,,,,,,
Commerzbank UK,--,2.3,--,--,--,--,,,,,,
DIW Berlin,1.4,--,--,--,--,--,,,,,,
DZ Bank,--,--,1.4,0.8,--,--,,,,,,
DekaBank,1.6,1.6,1.7,1.1,0.6,0.1,,,,,,
Eurozone Advisor,1.2,1.2,1.0,0.7,1.0,0.4,,,,,,
HSBC Hldg,--,1.5,1.5,1.2,--,0.0,,,,,,
HWWI,--,--,1.1,1.0,--,--,,,,,,
Helaba,--,1.6,1.5,1.1,0.8,--,,,,,,
IHS Global Insight,1.8,1.9,1.9,1.4,0.7,0.2,,,,,,
ING Fin Mkts,--,--,1.5,--,0.5,-0.2,,,,,,
Intesa Sanpaolo,--,--,--,--,1.0,--,,,,,,
JP Morgan,--,--,--,0.8,--,0.1,,,,,,
NORD/LB,1.7,1.6,--,--,0.6,0.0,,,,,,
ODDO BHF,--,1.4,--,--,0.0,--,,,,,,
Oppenheim,--,--,--,--,0.8,0.1,,,,,,
RGE,--,--,--,--,0.6,--,,,,,,
Rheinisch Westfa,--,1.5,1.7,1.2,0.8,0.2,,,,,,
Societe Generale,--,--,1.7,--,1.0,0.1,,,,,,
TD Economics,--,--,--,--,1.4,--,,,,,,
Uni Credit,--,1.8,1.8,1.4,1.0,0.5,,,,,,
Union Investment,1.1,--,--,--,--,0.7,,,,,,
WH,1.6,1.1,1.0,0.7,0.6,0.0,,,,,,
,,,,,,,,,,,,
