Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,,,,,,,
Median,1.6,1.5,0.9,0.9,0.8,,,,,,,
Mean,1.6,1.4,0.9,0.8,0.8,,,,,,,
Mode,1.8,1.5,1.0,0.9,0.7,,,,,,,
Min,0.9,0.8,0.4,0.1,0.4,,,,,,,
Max,2.2,1.9,1.6,1.3,1.3,,,,,,,
Standard Deviation,--,--,--,--,0.2,,,,,,,
# Forecasts,--,--,--,--,16 ,,,,,,,
Contributor,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,,,,,,,
BMO,0.9,1.2,0.8,0.1,0.4,,,,,,,
Barclays,1.3,--,--,1.0,0.8,,,,,,,
Berliner Spark,1.8,1.0,0.7,0.7,--,,,,,,,
CA CIB,1.8,--,1.0,--,0.9,,,,,,,
DZ Bank,1.5,--,--,--,0.7,,,,,,,
DekaBank,1.9,1.5,1.2,0.9,0.4,,,,,,,
Eurozone Advisor,1.3,1.4,0.6,0.4,0.6,,,,,,,
HSBC Hldg,--,--,0.5,0.5,--,,,,,,,
HWWI,1.8,--,--,--,--,,,,,,,
Helaba,1.7,1.6,--,1.2,1.3,,,,,,,
IHS Global Insight,1.9,1.6,1.1,1.1,1.0,,,,,,,
ING Fin Mkts,--,--,0.6,0.9,--,,,,,,,
Intesa Sanpaolo,--,1.6,--,--,0.9,,,,,,,
JP Morgan,1.4,--,1.0,0.9,0.6,,,,,,,
NORD/LB,--,1.5,0.8,0.8,0.7,,,,,,,
ODDO BHF,--,0.8,--,--,--,,,,,,,
Oppenheim,--,1.8,0.7,0.9,0.7,,,,,,,
RGE,--,1.4,--,0.7,--,,,,,,,
Rheinisch Westfa,1.5,1.5,0.9,0.8,0.8,,,,,,,
Societe Generale,--,1.7,1.2,1.3,--,,,,,,,
TD Economics,--,1.9,--,--,--,,,,,,,
Uni Credit,2.2,1.5,1.0,0.7,0.8,,,,,,,
Union Investment,--,--,1.6,1.1,0.5,,,,,,,
WH,1.1,1.1,0.4,0.4,0.9,,,,,,,
,,,,,,,,,,,,
