Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,,,,,,,
Median,1.4,1.3,1.6,1.8,1.6,,,,,,,
Mean,1.3,1.3,1.6,1.8,1.6,,,,,,,
Mode,1.4,1.3,1.3,1.8,1.3,,,,,,,
Min,0.5,0.5,1.2,1.4,1.3,,,,,,,
Max,2.0,1.8,2.2,2.4,2.1,,,,,,,
Standard Deviation,--,--,--,--,0.3,,,,,,,
# Forecasts,--,--,--,--,12 ,,,,,,,
Contributor,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,,,,,,,
BMO,0.5,0.5,1.4,--,1.5,,,,,,,
Barclays,--,1.1,--,1.8,2.0,,,,,,,
Berenberg,--,--,--,--,1.3,,,,,,,
Berliner Spark,1.7,--,--,1.9,1.6,,,,,,,
BofAML,--,--,2.0,--,--,,,,,,,
CA CIB,--,1.3,--,1.7,1.3,,,,,,,
Citigroup,--,--,--,1.9,1.7,,,,,,,
DekaBank,1.4,1.3,2.0,2.2,1.7,,,,,,,
Deutsche Bank,--,--,1.3,--,--,,,,,,,
Eurozone Advisor,1.2,1.2,1.3,1.5,--,,,,,,,
HSBC Hldg,1.2,--,1.8,2.1,--,,,,,,,
Helaba,1.4,1.7,1.3,1.6,--,,,,,,,
IHS Global Insight,1.6,1.6,2.2,2.2,--,,,,,,,
ING Fin Mkts,--,--,--,1.5,--,,,,,,,
Intesa Sanpaolo,--,1.3,1.4,1.4,--,,,,,,,
Julius Baer,--,--,1.6,--,1.3,,,,,,,
NORD/LB,1.0,1.0,1.7,1.7,1.5,,,,,,,
Oppenheim,1.3,1.3,1.9,1.8,--,,,,,,,
RGE,--,--,--,--,2.1,,,,,,,
Rheinisch Westfa,1.4,1.4,1.5,1.8,1.5,,,,,,,
Societe Generale,--,--,1.6,--,--,,,,,,,
Uni Credit,1.7,1.8,--,2.4,1.6,,,,,,,
Union Investment,2.0,1.8,--,--,--,,,,,,,
WH,1.1,1.4,1.2,1.8,--,,,,,,,
,,,,,,,,,,,,
