Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q1 2018,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,,,,,,
Median,1.7,1.5,1.8,1.4,1.4,1.7,,,,,,
Mean,1.7,1.5,1.7,1.4,1.5,1.6,,,,,,
Mode,--,1.5,1.8,1.3,1.4,1.7,,,,,,
Min,1.4,0.9,1.2,0.7,1.1,1.2,,,,,,
Max,2.1,1.9,2.1,1.8,1.8,1.8,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,14 ,,,,,,
Contributor,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,,,,,,
BMO,--,0.9,--,0.7,1.4,--,,,,,,
BNP Paribas,--,--,--,--,1.5,--,,,,,,
Barclays,--,--,--,1.8,1.4,1.7,,,,,,
Berenberg,--,--,--,1.2,1.5,1.5,,,,,,
Berliner Spark,--,--,1.8,1.7,1.7,--,,,,,,
BofAML,--,1.8,--,--,--,--,,,,,,
CA CIB,--,--,1.3,1.1,1.1,1.6,,,,,,
CaixaBank,--,--,--,--,1.5,1.4,,,,,,
Citigroup,--,--,1.8,1.5,--,--,,,,,,
Commerzbank UK,--,--,--,--,1.3,--,,,,,,
DZ Bank,--,--,--,--,1.4,--,,,,,,
DekaBank,1.6,1.6,1.7,1.3,1.4,1.5,,,,,,
Eurozone Advisor,1.4,1.4,1.8,--,--,--,,,,,,
HSBC Hldg,--,--,1.9,--,1.4,1.4,,,,,,
Helaba,--,1.4,1.5,--,1.6,1.7,,,,,,
IHS Global Insight,1.8,1.9,2.0,--,1.8,1.8,,,,,,
Intesa Sanpaolo,--,1.2,1.2,--,1.7,--,,,,,,
Julius Baer,--,1.5,--,0.9,--,1.8,,,,,,
NORD/LB,--,--,1.8,1.6,1.5,1.7,,,,,,
Oppenheim,--,1.5,1.5,--,1.4,--,,,,,,
RGE,--,--,--,1.7,--,--,,,,,,
Rheinisch Westfa,1.7,1.5,1.5,1.3,1.4,1.8,,,,,,
Societe Generale,--,--,--,--,1.2,1.2,,,,,,
Uni Credit,--,--,2.1,1.5,1.4,1.7,,,,,,
Union Investment,2.1,--,--,--,--,--,,,,,,
WH,1.5,1.5,1.7,--,1.7,1.6,,,,,,
,,,,,,,,,,,,
