Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2019,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,,,,,,
Median,1.8,1.7,1.8,1.5,1.4,1.4,,,,,,
Mean,1.8,1.7,1.8,1.6,1.3,1.4,,,,,,
Mode,1.8,1.7,1.8,1.4,1.2,1.4,,,,,,
Min,1.5,1.4,1.4,1.0,0.6,1.1,,,,,,
Max,1.9,1.9,2.2,2.0,1.7,1.6,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,13,,,,,,
Contributor,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,,,,,,
BMO,1.5,1.5,1.7,2.0,1.4,--,,,,,,
Barclays,1.5,1.7,1.5,1.6,1.0,1.4,,,,,,
Berenberg,1.8,1.4,1.6,1.4,1.2,--,,,,,,
Berliner Spark,1.6,1.5,2.0,1.3,1.2,--,,,,,,
CA CIB,--,1.6,1.8,1.4,--,--,,,,,,
Citigroup,--,1.6,1.5,1.0,0.6,1.2,,,,,,
Commerzbank UK,--,1.8,--,--,--,1.6,,,,,,
DZ Bank,1.8,1.7,1.8,1.8,1.7,1.4,,,,,,
DekaBank,--,1.7,1.9,--,--,--,,,,,,
Eurozone Advisor,--,--,1.9,--,1.3,1.5,,,,,,
HSBC Hldg,--,--,--,1.4,1.1,1.2,,,,,,
Helaba,1.9,1.9,1.8,2.0,--,1.4,,,,,,
IHS Markit,1.9,1.9,2.2,1.8,1.5,1.5,,,,,,
ING Fin Mkts,--,--,--,1.4,--,1.5,,,,,,
Julius Baer,1.8,1.7,2.2,--,1.6,--,,,,,,
NORD/LB,1.8,1.8,1.8,1.4,--,1.1,,,,,,
Nomura,--,--,--,1.8,--,--,,,,,,
Rheinisch Westfa,1.9,1.8,1.8,--,--,--,,,,,,
Societe Generale,--,--,1.4,--,--,1.1,,,,,,
Uni Credit,1.9,--,1.7,--,1.7,1.4,,,,,,
WH,1.7,1.9,1.9,1.6,1.5,1.4,,,,,,
,,,,,,,,,,,,
