Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2019,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,,,,,
Median,1.8,1.7,1.8,1.5,1.4,1.4,1.3,,,,,
Mean,1.8,1.7,1.7,1.5,1.4,1.4,1.2,,,,,
Mode,1.9,1.8,1.8,1.4,1.4,1.4,1.3,,,,,
Min,1.3,1.3,1.4,0.9,0.8,1.0,0.9,,,,,
Max,1.9,2.0,1.9,2.0,2.1,2.0,1.6,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,17,,,,,
Contributor,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,,,,,
BMO,1.3,1.3,1.5,1.8,2.1,--,1.2,,,,,
Barclays,1.6,1.7,1.4,1.5,1.4,1.4,1.2,,,,,
Berenberg,1.9,1.7,1.9,1.4,1.3,--,1.0,,,,,
Berliner Spark,1.6,1.4,1.4,1.1,1.0,--,1.2,,,,,
CA CIB,--,1.5,1.6,1.2,--,--,--,,,,,
Capital Econ,--,--,--,--,--,--,1.0,,,,,
Citigroup,--,1.6,1.4,0.9,0.8,1.0,1.3,,,,,
Commerzbank UK,--,1.8,--,--,--,1.4,--,,,,,
DZ Bank,1.9,1.7,1.5,1.6,2.1,1.5,1.1,,,,,
DekaBank,--,2.0,1.8,--,--,--,--,,,,,
Eurozone Advisor,--,--,1.8,--,1.1,1.3,1.2,,,,,
HSBC Hldg,--,--,--,1.3,1.4,1.6,1.6,,,,,
Helaba,1.8,1.8,1.8,1.9,--,1.6,1.5,,,,,
IHS Markit,1.8,1.8,1.9,1.6,1.4,1.4,1.4,,,,,
ING Fin Mkts,--,--,--,1.4,--,2.0,1.4,,,,,
Julius Baer,1.9,1.4,1.8,--,1.5,--,1.3,,,,,
NORD/LB,1.7,1.8,1.7,1.5,--,1.5,1.3,,,,,
Nomura,--,--,--,2.0,--,--,--,,,,,
Rheinisch Westfa,1.9,1.7,1.7,--,--,--,--,,,,,
Societe Generale,--,--,--,--,--,1.0,0.9,,,,,
Uni Credit,1.9,--,1.8,--,1.6,1.5,1.3,,,,,
WH,1.7,1.8,1.9,1.4,1.5,1.4,1.3,,,,,
,,,,,,,,,,,,
