Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q3 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,,,,,
Median,1.6,1.5,1.4,1.3,0.5,0.2,0.2,,,,,
Mean,1.5,1.4,1.3,1.3,0.4,0.3,0.2,,,,,
Mode,1.7,1.5,1.5,1.1,0.9,0.2,0.2,,,,,
Min,1.1,1.1,0.9,1.0,-0.7,-0.9,-0.9,,,,,
Max,1.8,1.6,1.7,1.7,1.2,1.0,1.0,,,,,
Standard Deviation,--,--,--,--,--,--,0.6,,,,,
# Forecasts,--,--,--,--,--,--,11,,,,,
Contributor,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,,,,,
BMO,1.7,--,0.9,1.1,1.0,0.7,0.7,,,,,
Barclays,1.7,1.6,1.4,1.5,0.0,0.2,0.2,,,,,
Berenberg,1.7,--,1.4,1.3,0.6,--,-0.4,,,,,
Berliner Spark,1.2,--,1.3,1.3,-0.7,0.6,--,,,,,
Capital Econ,--,--,1.3,--,--,--,--,,,,,
Citigroup,1.1,1.1,1.1,1.1,--,0.8,0.9,,,,,
Commerzbank UK,--,1.5,--,--,--,0.2,0.2,,,,,
DZ Bank,--,1.4,--,--,-0.1,--,--,,,,,
Eurozone Advisor,1.4,1.5,1.5,1.0,--,--,--,,,,,
Goldman Sachs,--,--,--,1.0,1.2,--,--,,,,,
HSBC Hldg,--,--,1.5,1.4,0.6,--,--,,,,,
Helaba,--,1.5,1.2,1.7,0.9,-0.2,-0.2,,,,,
IHS Markit,1.1,1.1,1.5,1.6,0.9,1.0,1.0,,,,,
ING Fin Mkts,--,--,--,1.3,0.9,--,--,,,,,
Julius Baer,1.7,--,1.7,--,--,--,--,,,,,
LBBW,--,--,--,1.5,--,--,--,,,,,
NORD/LB,--,1.3,--,1.1,0.1,-0.1,-0.2,,,,,
Societe Generale,--,--,1.0,1.2,0.3,0.2,0.2,,,,,
Uni Credit,1.4,1.3,1.4,1.2,0.2,-0.9,-0.9,,,,,
WH,1.8,1.5,1.5,1.1,0.2,0.5,0.5,,,,,
,,,,,,,,,,,,
