Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - INFLATION QUARTERLY % CHG YY ,,,,,,,,,,,
Forecast Horizon,Q4 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,22-Oct-2020,18-Jan-2021,,,
Median,1.5,1.5,1.5,1.3,0.6,0.5,0.3,-0.2,-0.5,,,
Mean,1.5,1.5,1.4,1.3,0.6,0.5,0.3,-0.2,-0.4,,,
Mode,1.3,1.5,1.3,1.3,0.2,-0.1,-0.1,-0.2,-0.6,,,
Min,1.1,1.1,1.0,1.0,-0.5,-0.5,-0.5,-1.0,-0.6,,,
Max,2.1,1.9,1.9,1.7,1.6,1.6,1.6,0.5,-0.2,,,
Standard Deviation,--,--,--,--,--,--,--,--,0.2,,,
# Forecasts,--,--,--,--,--,--,--,--,7,,,
Contributor,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,22-Oct-2020,18-Jan-2021,,,
BMO,2.1,--,1.9,1.7,1.6,1.6,1.6,0.5,-0.5,,,
Barclays,1.7,1.5,1.1,1.3,0.2,0.5,0.5,-0.5,-0.6,,,
Berenberg,1.8,--,1.5,1.4,0.7,--,-0.3,-0.2,--,,,
Berliner Spark,1.2,--,1.3,1.4,0.3,1.1,--,--,--,,,
Capital Econ,--,--,1.3,--,--,--,--,--,--,,,
Citigroup,1.1,1.1,1.0,1.1,--,0.6,0.5,0.0,--,,,
Commerzbank UK,--,1.6,--,--,--,0.3,0.3,--,--,,,
Continuum Econ,--,--,--,--,--,--,--,-0.1,--,,,
DZ Bank,--,1.9,--,--,-0.5,--,--,-0.8,--,,,
Eurozone Advisor,1.3,1.5,1.5,1.0,--,--,--,--,--,,,
Goldman Sachs,--,--,--,1.0,1.1,--,--,0.2,--,,,
HSBC Hldg,--,--,1.5,1.6,0.9,--,--,-0.1,--,,,
Helaba,--,1.8,1.6,1.7,1.0,-0.1,-0.1,-0.2,-0.3,,,
IHS Markit,1.3,1.3,1.3,1.5,0.9,0.9,0.9,-0.4,-0.6,,,
ING Fin Mkts,--,--,--,--,1.2,--,--,-0.3,-0.2,,,
Julius Baer,1.7,--,1.8,--,--,--,--,--,--,,,
LBBW,--,--,--,1.4,--,--,--,--,--,,,
NORD/LB,--,1.4,--,1.3,0.2,-0.1,-0.1,--,-0.6,,,
Societe Generale,--,--,--,1.1,0.4,0.2,0.2,-0.2,--,,,
Uni Credit,1.3,1.3,1.3,1.2,0.4,-0.5,-0.5,-1.0,--,,,
WH,1.7,1.5,1.5,1.3,0.2,0.7,0.7,-0.1,-0.2,,,
,,,,,,,,,,,,
