Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,,,,,,,,
Median,0.4,0.4,0.4,0.6,,,,,,,,
Mean,0.5,0.4,0.4,0.6,,,,,,,,
Mode,0.4,0.5,0.4,0.6,,,,,,,,
Min,0.2,-0.2,0.1,0.3,,,,,,,,
Max,2.3,0.6,0.6,0.9,,,,,,,,
Standard Deviation,--,--,--,0.1,,,,,,,,
# Forecasts,--,--,--,22 ,,,,,,,,
Contributor,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,,,,,,,,
BNP Paribas GB,0.4,--,--,--,,,,,,,,
BayernLB,--,0.3,0.3,0.5,,,,,,,,
Bnk Amer London,0.5,0.5,0.4,0.5,,,,,,,,
Citigroup,0.4,--,0.4,0.3,,,,,,,,
Commerzbank,0.4,0.3,0.5,0.5,,,,,,,,
Commerzbank Fina,--,--,0.4,0.6,,,,,,,,
Credit Suisse,--,0.2,0.4,0.9,,,,,,,,
DIW Berlin,--,--,0.4,--,,,,,,,,
DZ Bank,0.3,0.5,0.4,0.6,,,,,,,,
DekaBank,--,0.5,0.4,0.6,,,,,,,,
Deutsche,0.3,0.3,0.3,0.4,,,,,,,,
Deutsche Postbank,0.7,0.6,0.6,--,,,,,,,,
Dresdner Bk,0.5,0.5,0.5,0.6,,,,,,,,
EssenHyp,--,0.2,--,--,,,,,,,,
Goldman Sachs,--,--,--,0.8,,,,,,,,
HSBC Trink,0.2,0.2,0.3,0.6,,,,,,,,
IHS Markit,--,0.4,0.3,--,,,,,,,,
IfW,--,0.6,0.1,--,,,,,,,,
LBBW,0.5,0.4,0.6,0.7,,,,,,,,
Landesbank Hldg,0.3,-0.2,0.5,0.6,,,,,,,,
Lbk Hessen,--,0.4,0.5,0.6,,,,,,,,
Mfi Asset Mgnt,0.3,--,--,--,,,,,,,,
NORD/LB,0.5,--,0.5,0.5,,,,,,,,
Nomura Co,0.4,0.4,0.2,0.7,,,,,,,,
ODDO BHF,2.3,0.5,--,0.5,,,,,,,,
Oppenheim,0.5,--,--,--,,,,,,,,
Portigon,0.4,0.5,0.3,0.5,,,,,,,,
Rheinisch Westfa,--,0.5,0.3,--,,,,,,,,
Sal Oppenheim,--,0.4,0.5,0.6,,,,,,,,
Skand Ensk Bank,0.3,--,0.4,0.5,,,,,,,,
UFJ Holdings,--,--,0.6,--,,,,,,,,
UniCredit Bnk,0.4,0.5,0.5,0.6,,,,,,,,
WH,--,--,0.4,--,,,,,,,,
,,,,,,,,,,,,
