Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,,,,,,,
Median,0.4,0.5,0.5,0.6,0.8,,,,,,,
Mean,0.5,0.4,0.5,0.5,0.8,,,,,,,
Mode,0.4,0.5,0.5,0.6,0.7,,,,,,,
Min,0.1,0.2,0.3,0.2,0.4,,,,,,,
Max,2.4,0.7,0.6,0.8,1.2,,,,,,,
Standard Deviation,--,--,--,--,0.2,,,,,,,
# Forecasts,--,--,--,--,25 ,,,,,,,
Contributor,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,,,,,,,
BNP Paribas GB,0.4,--,--,--,--,,,,,,,
BayernLB,--,0.4,0.4,0.4,--,,,,,,,
Bnk Amer London,0.5,0.5,0.4,0.5,0.7,,,,,,,
Citigroup,0.4,--,0.3,0.6,0.6,,,,,,,
Commerzbank,0.4,0.3,0.4,0.5,0.7,,,,,,,
Commerzbank Fina,--,--,0.4,0.6,0.8,,,,,,,
Credit Suisse,--,0.2,0.5,0.6,0.9,,,,,,,
DIW Berlin,--,--,0.4,--,0.7,,,,,,,
DZ Bank,0.5,0.5,0.4,0.4,0.5,,,,,,,
DekaBank,--,0.4,0.6,0.6,0.9,,,,,,,
Deutsche,0.3,0.6,0.6,0.6,0.8,,,,,,,
Deutsche Postbank,0.5,0.5,0.5,--,0.9,,,,,,,
Dresdner Bk,0.5,0.6,0.5,0.7,1.2,,,,,,,
EssenHyp,--,0.3,--,--,0.7,,,,,,,
Goldman Sachs,--,--,--,0.7,--,,,,,,,
HSBC Trink,0.2,0.3,0.3,0.2,0.5,,,,,,,
IHS Markit,--,0.5,0.6,--,1.0,,,,,,,
IfW,--,0.5,0.6,--,1.1,,,,,,,
LBBW,0.5,0.5,0.5,0.5,0.8,,,,,,,
Landesbank Hldg,0.1,0.2,0.5,0.7,1.1,,,,,,,
Lbk Hessen,--,0.5,0.6,0.7,0.8,,,,,,,
Mfi Asset Mgnt,0.4,--,--,--,--,,,,,,,
NORD/LB,0.2,--,0.5,0.4,0.8,,,,,,,
Nomura Co,0.5,0.4,0.4,0.4,--,,,,,,,
ODDO BHF,2.4,0.7,--,0.8,0.7,,,,,,,
Oppenheim,0.4,--,--,--,--,,,,,,,
Portigon,0.4,0.4,0.5,0.6,0.7,,,,,,,
Rheinisch Westfa,--,0.6,0.5,--,0.8,,,,,,,
Sal Oppenheim,--,0.5,0.4,0.5,0.7,,,,,,,
Skand Ensk Bank,0.4,--,0.5,0.6,0.7,,,,,,,
UFJ Holdings,--,--,0.5,--,--,,,,,,,
UniCredit Bnk,0.4,0.4,0.3,0.3,0.4,,,,,,,
WH,--,--,0.4,--,--,,,,,,,
,,,,,,,,,,,,
