Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,,,,,,
Median,0.4,0.5,0.4,0.6,0.6,0.6,,,,,,
Mean,0.5,0.4,0.5,0.5,0.6,0.6,,,,,,
Mode,0.4,0.5,0.4,0.6,0.7,0.6,,,,,,
Min,0.0,0.1,0.2,0.2,0.3,0.3,,,,,,
Max,2.4,0.7,0.7,0.8,0.9,0.9,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,24,,,,,,
Contributor,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,,,,,,
BNP Paribas GB,0.3,--,--,--,--,--,,,,,,
BayernLB,--,0.5,0.4,0.5,--,0.6,,,,,,
Bnk Amer London,0.5,0.5,0.4,0.5,0.6,0.6,,,,,,
Citigroup,0.5,--,0.4,0.7,0.4,0.5,,,,,,
Commerzbank,0.3,0.3,0.4,0.5,0.5,0.6,,,,,,
Commerzbank Fina,--,--,0.4,0.5,0.7,0.9,,,,,,
Credit Suisse,--,0.3,0.6,0.7,0.7,0.7,,,,,,
DIW Berlin,--,--,0.4,--,0.9,--,,,,,,
DZ Bank,0.3,0.4,0.4,0.4,0.5,--,,,,,,
DekaBank,--,0.4,0.3,0.4,0.5,0.6,,,,,,
Deutsche,0.4,0.5,0.4,0.4,0.4,0.3,,,,,,
Deutsche Postbank,0.3,0.4,0.2,--,0.4,0.4,,,,,,
Dresdner Bk,0.4,0.6,0.6,0.7,0.8,0.9,,,,,,
EssenHyp,--,0.3,--,--,0.5,--,,,,,,
Goldman Sachs,--,--,--,0.5,--,--,,,,,,
HSBC Trink,0.2,0.3,0.3,0.4,0.3,0.5,,,,,,
IHS Markit,--,0.4,0.5,--,0.5,0.5,,,,,,
IfW,--,0.4,0.5,--,0.8,--,,,,,,
Julius Baer,--,--,--,--,--,0.5,,,,,,
LBBW,0.5,0.5,0.5,0.6,0.7,0.7,,,,,,
Landesbank Hldg,0.0,0.1,0.4,0.3,0.7,--,,,,,,
Lbk Hessen,--,0.6,0.5,0.6,0.6,0.6,,,,,,
Mfi Asset Mgnt,0.4,--,--,--,--,--,,,,,,
NORD/LB,0.4,--,0.4,0.6,0.7,0.7,,,,,,
Nomura Co,0.6,0.5,0.6,0.6,--,--,,,,,,
ODDO BHF,2.4,0.5,--,0.8,0.7,0.6,,,,,,
Oppenheim,0.4,--,--,--,--,--,,,,,,
Portigon,0.5,0.5,0.6,0.7,0.7,0.7,,,,,,
Rheinisch Westfa,--,0.7,0.6,--,0.6,0.6,,,,,,
Sal Oppenheim,--,0.5,0.6,0.6,0.6,0.5,,,,,,
Skand Ensk Bank,0.4,--,0.5,0.6,0.6,0.8,,,,,,
UFJ Holdings,--,--,0.7,--,--,--,,,,,,
UniCredit Bnk,0.4,0.4,0.2,0.2,0.3,0.4,,,,,,
Union Investment,--,--,--,--,--,0.6,,,,,,
WH,--,--,0.6,--,--,--,,,,,,
,,,,,,,,,,,,
