Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2006,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,,,,,
Median,0.4,0.4,0.6,0.6,0.7,0.7,0.7,,,,,
Mean,0.5,0.4,0.6,0.7,0.7,0.7,0.7,,,,,
Mode,0.4,0.5,0.6,0.6,0.6,0.7,0.7,,,,,
Min,0.0,0.0,0.3,0.4,0.2,0.4,0.5,,,,,
Max,2.2,0.7,1.1,1.1,1.1,1.1,1.3,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,24 ,,,,,
Contributor,06-Apr-2005,06-Jul-2005,04-Jan-2006,05-Apr-2006,05-Jul-2006,04-Oct-2006,03-Jan-2007,,,,,
BNP Paribas GB,0.3,--,--,--,--,--,--,,,,,
BayernLB,--,0.4,0.5,0.8,--,0.8,0.6,,,,,
Bnk Amer London,0.5,0.5,0.4,0.6,0.6,0.6,0.7,,,,,
Citigroup,0.4,--,0.6,0.9,0.8,0.8,--,,,,,
Commerzbank,0.3,0.2,0.4,0.5,0.5,0.5,0.5,,,,,
Commerzbank Fina,--,--,0.7,0.5,0.4,0.5,--,,,,,
Credit Suisse,--,0.3,0.6,0.7,0.7,0.7,--,,,,,
DIW Berlin,--,--,0.5,--,0.8,--,0.8,,,,,
DZ Bank,0.4,0.4,0.5,0.6,0.6,--,0.8,,,,,
DekaBank,--,0.3,0.4,0.4,0.4,0.4,0.5,,,,,
Deutsche,0.4,0.4,0.6,0.6,0.7,0.5,0.5,,,,,
Deutsche Postbank,0.3,0.3,0.4,--,0.7,0.7,0.5,,,,,
Dresdner Bk,0.4,0.5,0.8,0.8,0.8,0.8,--,,,,,
EssenHyp,--,0.3,--,--,0.2,--,--,,,,,
Eurozone Advisor,--,--,--,--,--,--,0.6,,,,,
Goldman Sachs,--,--,--,0.6,--,--,--,,,,,
HSBC Trink,0.3,0.3,0.3,0.8,0.7,0.5,0.5,,,,,
IHS Markit,--,0.5,0.6,--,0.8,0.5,0.8,,,,,
IfW,--,0.3,0.4,--,0.9,--,1.3,,,,,
Julius Baer,--,--,--,--,--,0.4,0.6,,,,,
LBBW,0.5,0.5,0.7,0.7,0.7,0.7,0.8,,,,,
Landesbank Hldg,0.0,0.0,0.5,0.5,0.5,--,--,,,,,
Lbk Hessen,--,0.6,0.7,0.7,0.8,0.8,0.6,,,,,
Mfi Asset Mgnt,0.5,--,--,--,--,--,--,,,,,
NORD/LB,0.5,--,0.8,1.0,1.0,1.0,0.6,,,,,
Nomura Co,0.6,0.6,0.4,0.6,--,--,0.7,,,,,
ODDO BHF,2.2,0.5,--,0.5,0.6,0.7,0.7,,,,,
Oppenheim,0.4,--,--,--,--,--,--,,,,,
Portigon,0.4,0.5,0.8,0.9,0.9,0.9,0.5,,,,,
Rheinisch Westfa,--,0.7,0.8,--,0.9,0.7,--,,,,,
Sal Oppenheim,--,0.6,0.7,0.6,0.6,0.7,0.7,,,,,
Skand Ensk Bank,0.4,--,0.6,0.6,0.6,0.6,--,,,,,
UFJ Holdings,--,--,0.6,--,--,--,--,,,,,
Uni Credit,--,--,--,--,--,--,1.1,,,,,
UniCredit Bnk,0.4,0.4,1.1,1.1,1.1,1.1,--,,,,,
Union Investment,--,--,--,--,--,0.7,0.7,,,,,
WH,--,--,0.6,--,--,--,0.7,,,,,
,,,,,,,,,,,,
