Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,05-Jul-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,,,,,
Median,0.4,0.4,0.5,0.5,0.4,0.3,0.5,,,,,
Mean,0.4,0.4,0.5,0.5,0.4,0.3,0.5,,,,,
Mode,0.4,0.4,0.4,0.5,0.4,0.3,0.5,,,,,
Min,0.3,0.3,0.2,0.3,0.0,0.0,0.3,,,,,
Max,0.5,0.6,0.6,0.7,0.6,0.4,0.7,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,17,,,,,
Contributor,05-Jul-2006,03-Jan-2007,04-Apr-2007,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,,,,,
BayernLB,--,0.4,0.4,--,--,0.2,--,,,,,
Bnk Amer London,--,0.6,0.6,0.6,--,--,--,,,,,
Citigroup,--,--,0.4,0.5,0.5,--,0.7,,,,,
Commerzbank,--,0.4,0.4,0.4,0.2,0.3,0.7,,,,,
Commerzbank Fina,--,--,0.4,--,--,--,--,,,,,
Credit Agri Lon,--,--,0.6,--,--,0.3,--,,,,,
Credit Suisse,--,--,0.5,--,--,--,--,,,,,
DIW Berlin,--,0.5,--,--,--,0.3,0.6,,,,,
DZ Bank,--,0.4,0.5,0.5,0.4,0.3,0.5,,,,,
DekaBank,--,0.5,0.4,0.6,0.4,0.2,0.7,,,,,
Deutsche,--,0.3,0.4,0.5,0.4,0.3,0.7,,,,,
Deutsche Postbank,--,0.4,0.4,--,0.6,0.4,0.4,,,,,
Dresdner Bk,--,--,0.5,0.6,0.4,--,--,,,,,
Eurozone Advisor,--,0.5,0.5,0.4,--,0.3,--,,,,,
HSBC Trink,--,0.3,0.2,0.5,0.5,0.3,0.3,,,,,
IHS Markit,0.4,0.4,--,0.5,0.4,0.3,0.5,,,,,
IfW,--,0.5,--,0.5,--,--,--,,,,,
Julius Baer,--,0.5,0.4,--,--,--,--,,,,,
LBB,--,--,0.4,0.3,--,--,--,,,,,
LBBW,0.4,0.4,0.6,0.6,0.4,--,--,,,,,
Landesbank Hldg,0.5,--,--,--,--,--,--,,,,,
Lbk Hessen,--,0.5,--,--,0.4,--,0.4,,,,,
NORD/LB,--,0.4,0.4,0.4,0.4,--,--,,,,,
Nomura Co,--,0.6,0.6,--,--,--,--,,,,,
ODDO BHF,0.4,0.4,0.5,0.5,0.0,0.0,0.5,,,,,
Oppenheim,--,--,0.5,--,--,--,--,,,,,
Portigon,--,0.3,0.4,0.6,0.4,0.2,0.6,,,,,
Rheinisch Westfa,--,--,0.6,--,--,--,--,,,,,
Sal Oppenheim,--,0.5,--,0.6,0.4,0.3,0.5,,,,,
Skand Ensk Bank,--,--,0.5,0.7,0.5,0.4,0.4,,,,,
Uni Credit,--,0.4,0.3,0.5,0.3,0.3,0.6,,,,,
UniCredit Bnk,0.3,--,--,--,--,--,--,,,,,
Union Investment,--,0.4,0.5,0.5,0.4,0.3,--,,,,,
WH,--,--,--,0.5,0.5,0.2,0.5,,,,,
ZBW,--,--,--,--,0.4,--,--,,,,,
,,,,,,,,,,,,
