Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2008,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,,,,,
Median,0.5,0.5,0.5,0.4,0.3,0.0,-1.6,,,,,
Mean,0.5,0.5,0.5,0.4,0.3,0.0,-1.5,,,,,
Mode,0.5,0.4,0.5,0.4,0.3,0.0,-1.7,,,,,
Min,0.3,0.3,0.3,0.1,0.0,-0.4,-2.0,,,,,
Max,0.8,0.8,0.6,0.6,0.5,0.3,-0.7,,,,,
Standard Deviation,--,--,--,--,--,--,0.4,,,,,
# Forecasts,--,--,--,--,--,--,19 ,,,,,
Contributor,04-Jul-2007,03-Oct-2007,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,,,,,
BayernLB,--,--,0.5,--,--,--,--,,,,,
Bnk Amer London,0.7,--,--,--,--,--,--,,,,,
Citigroup,0.8,0.8,--,0.2,--,--,--,,,,,
Commerzbank,0.3,0.3,0.3,0.3,0.3,--,-2.0,,,,,
Credit Agri Lon,--,--,0.5,--,--,--,--,,,,,
DIW Berlin,--,--,0.4,0.5,0.2,0.3,-1.0,,,,,
DZ Bank,0.4,0.4,0.5,0.5,0.0,--,-0.7,,,,,
DekaBank,0.4,0.4,0.5,0.3,0.4,0.0,--,,,,,
Deutsche,0.4,0.7,0.6,0.1,0.3,--,-1.5,,,,,
Deutsche Postbank,--,0.6,0.6,0.6,0.5,0.0,-1.4,,,,,
Dresdner Bk,0.5,0.8,--,--,--,--,--,,,,,
Eurozone Advisor,0.4,--,0.4,--,0.2,-0.4,-1.3,,,,,
HSBC Trink,0.4,0.4,0.5,0.4,0.3,0.2,-1.7,,,,,
IHS Markit,0.4,0.4,0.5,0.4,0.2,-0.2,-1.7,,,,,
IfW,0.5,--,--,--,--,--,--,,,,,
Julius Baer,--,--,--,--,--,--,-1.8,,,,,
LBB,0.8,--,--,--,--,--,--,,,,,
LBBW,0.4,0.3,--,--,--,-0.1,--,,,,,
Lbk Hessen,--,0.5,--,0.6,0.4,0.3,-1.6,,,,,
MM Warburg,--,--,--,--,0.1,-0.3,-1.7,,,,,
NORD/LB,0.5,0.3,--,--,0.3,0.0,-1.7,,,,,
ODDO BHF,0.5,0.5,0.5,0.1,0.0,--,-1.8,,,,,
Portigon,0.5,0.3,0.3,0.2,0.2,-0.1,--,,,,,
Rheinisch Westfa,--,--,--,--,--,--,-0.9,,,,,
Sal Oppenheim,0.5,0.7,0.5,0.5,0.3,-0.3,-0.9,,,,,
Skand Ensk Bank,0.5,0.5,0.5,0.4,0.3,-0.3,-1.7,,,,,
Uni Credit,0.5,0.6,0.6,0.4,0.2,0.0,-1.5,,,,,
Union Investment,0.6,0.6,0.5,--,0.3,0.1,--,,,,,
WH,0.5,0.4,0.5,0.4,0.4,--,-1.2,,,,,
ZBW,--,0.5,--,--,0.3,--,--,,,,,
,,,,,,,,,,,,
