Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2009,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,,,,,
Median,0.5,0.4,0.4,0.3,-0.3,-0.4,-0.4,,,,,
Mean,0.5,0.4,0.4,0.2,-0.3,-0.4,-0.3,,,,,
Mode,0.6,0.4,0.4,0.3,-0.3,-0.8,-0.3,,,,,
Min,0.4,0.2,0.2,-0.2,-0.8,-1.0,-0.9,,,,,
Max,0.8,0.6,0.6,0.4,0.2,0.3,0.5,,,,,
Standard Deviation,--,--,--,--,--,--,0.4,,,,,
# Forecasts,--,--,--,--,--,--,18,,,,,
Contributor,02-Jan-2008,02-Apr-2008,02-Jul-2008,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,,,,,
BayernLB,0.5,--,--,--,--,--,--,,,,,
Citigroup,--,0.4,--,--,--,-0.7,--,,,,,
Commerzbank,0.4,0.4,0.3,--,-0.3,--,-0.9,,,,,
Credit Agri Lon,0.5,--,--,--,--,--,--,,,,,
DIW Berlin,0.4,0.4,0.4,0.4,-0.2,-0.9,-0.7,,,,,
DZ Bank,0.4,0.4,0.4,--,-0.1,-0.1,-0.2,,,,,
DekaBank,0.6,0.4,0.4,0.2,--,-0.3,-0.2,,,,,
Deutsche,0.6,--,0.3,--,-0.8,--,-0.3,,,,,
Deutsche Postbank,0.8,0.6,0.5,0.3,0.0,0.0,-0.5,,,,,
Eurozone Advisor,0.4,--,0.2,0.0,-0.5,-0.5,-0.5,,,,,
HSBC Trink,0.5,0.3,0.3,0.3,-0.1,0.3,-0.3,,,,,
IHS Markit,0.6,0.6,0.4,0.2,-0.4,-0.5,-0.4,,,,,
Julius Baer,--,--,--,--,-0.5,-0.8,--,,,,,
LBB,--,--,--,--,--,--,0.5,,,,,
LBBW,--,--,--,0.3,--,--,0.5,,,,,
Lbk Hessen,--,0.5,0.5,0.3,0.2,0.2,0.0,,,,,
MM Warburg,--,--,0.3,-0.2,-0.5,--,--,,,,,
NORD/LB,--,--,0.6,0.2,-0.3,-0.4,-0.5,,,,,
ODDO BHF,0.5,0.2,0.2,--,-0.3,-0.8,--,,,,,
Portigon,0.4,--,0.3,0.1,--,-0.2,-0.3,,,,,
Rheinisch Westfa,--,--,--,--,-0.4,--,-0.8,,,,,
Sal Oppenheim,0.5,0.6,0.5,0.3,-0.3,-0.2,--,,,,,
Skand Ensk Bank,0.4,0.3,0.4,0.3,-0.4,-1.0,-0.4,,,,,
Uni Credit,0.6,0.5,0.3,0.1,-0.3,-0.3,--,,,,,
Union Investment,0.6,--,0.5,0.4,-0.3,-0.8,-0.8,,,,,
WH,0.6,0.5,0.5,--,-0.2,0.0,--,,,,,
ZBW,--,--,0.4,--,--,-0.4,0.0,,,,,
,,,,,,,,,,,,
