Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,,,,,
Median,0.3,0.2,0.2,0.1,0.2,0.2,0.1,,,,,
Mean,0.3,0.2,0.1,0.0,0.1,0.3,0.1,,,,,
Mode,0.2,0.2,0.3,0.1,0.2,0.2,0.1,,,,,
Min,0.1,-0.1,-0.5,-0.4,-0.3,0.0,-0.3,,,,,
Max,0.5,0.5,0.3,0.3,0.5,0.8,0.3,,,,,
Standard Deviation,--,--,--,--,--,--,0.2,,,,,
# Forecasts,--,--,--,--,--,--,16,,,,,
Contributor,01-Oct-2008,07-Jan-2009,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,,,,,
BayernLB,--,--,--,--,--,0.2,--,,,,,
Citigroup,--,--,0.3,--,--,--,--,,,,,
Commerzbank,--,0.2,--,0.2,0.3,0.6,-0.1,,,,,
DIW Berlin,0.5,0.2,0.2,0.2,0.2,--,--,,,,,
DZ Bank,--,0.5,0.3,0.3,0.2,0.2,0.1,,,,,
DekaBank,0.2,--,-0.3,-0.2,-0.2,0.1,-0.1,,,,,
Deutsche,--,0.3,--,0.3,--,0.7,--,,,,,
Deutsche Postbank,--,0.1,0.3,0.0,0.0,0.6,0.3,,,,,
Eurozone Advisor,0.4,0.4,0.1,-0.3,-0.2,0.0,0.1,,,,,
HSBC Trink,0.1,0.4,0.0,0.0,0.2,--,0.1,,,,,
IHS Markit,0.3,0.0,-0.1,0.1,0.2,0.3,0.1,,,,,
Julius Baer,--,0.4,-0.1,--,--,--,--,,,,,
Kiel Economics,--,--,--,--,--,0.1,--,,,,,
LBB,--,--,--,0.1,0.2,--,--,,,,,
LBBW,--,--,--,0.0,0.2,0.5,--,,,,,
Lbk Hessen,--,0.3,0.3,0.3,0.4,--,--,,,,,
MM Warburg,--,0.2,--,--,--,--,--,,,,,
NORD/LB,0.3,0.2,0.2,0.2,--,--,0.2,,,,,
ODDO BHF,--,-0.1,-0.5,--,-0.1,0.1,0.2,,,,,
Portigon,--,--,0.3,0.1,0.0,0.0,-0.3,,,,,
Rheinisch Westfa,--,--,--,0.1,--,0.2,0.1,,,,,
Sal Oppenheim,--,0.3,0.3,--,0.3,0.3,0.2,,,,,
Skand Ensk Bank,0.2,0.2,-0.1,-0.3,0.2,--,--,,,,,
Uni Credit,0.4,0.2,0.2,--,--,0.5,-0.1,,,,,
UniCredit Bnk,--,--,--,--,0.5,--,--,,,,,
Union Investment,--,0.2,0.1,0.1,0.2,0.8,--,,,,,
WH,--,0.3,0.0,--,0.1,0.2,0.2,,,,,
ZBW,--,--,0.3,-0.4,-0.3,0.2,0.0,,,,,
,,,,,,,,,,,,
