Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q4 2010,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,,,,
Median,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,,,,
Mean,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,,,,
Mode,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.5,,,,
Min,-0.1,0.0,0.1,0.1,0.3,0.3,0.1,0.3,,,,
Max,0.5,0.5,0.6,0.6,0.5,0.7,0.7,0.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,22,,,,
Contributor,01-Apr-2009,01-Jul-2009,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,,,,
BayernLB,--,--,--,0.2,--,--,0.2,0.5,,,,
Citigroup,0.4,--,--,--,--,0.6,0.5,--,,,,
Commerzbank,--,0.2,0.3,0.3,0.3,0.5,--,0.7,,,,
DIW Berlin,0.3,0.3,0.3,--,--,0.3,0.3,0.7,,,,
DZ Bank,0.4,0.4,0.4,0.3,0.3,--,0.5,0.3,,,,
DekaBank,0.4,0.4,0.3,0.5,0.5,0.5,0.5,0.7,,,,
Deutsche,--,0.0,--,0.4,--,--,--,--,,,,
Deutsche Postbank,0.5,0.4,0.4,0.2,0.4,0.3,--,0.5,,,,
Eurozone Advisor,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.8,,,,
HSBC Trink,0.1,0.2,0.3,--,0.4,--,--,0.4,,,,
IHS Markit,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,,,,
IfW,--,--,--,--,--,--,0.4,0.8,,,,
Julius Baer,0.5,--,--,--,--,--,--,--,,,,
Kiel Economics,--,--,--,0.5,--,--,--,--,,,,
LBB,--,0.5,0.4,--,--,--,--,--,,,,
LBBW,--,0.2,0.1,0.1,--,--,--,--,,,,
Lbk Hessen,0.5,0.5,0.5,--,--,0.4,0.1,0.4,,,,
NORD/LB,0.3,0.2,--,--,0.5,0.3,0.3,0.4,,,,
ODDO BHF,-0.1,--,0.1,0.3,0.5,0.4,0.7,0.5,,,,
Portigon,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,,,,
Rheinisch Westfa,--,0.3,--,0.6,0.5,0.5,0.7,0.8,,,,
Sal Oppenheim,0.5,--,0.5,0.4,0.4,0.3,0.3,0.5,,,,
Skand Ensk Bank,0.5,0.2,0.3,--,--,0.7,0.6,0.5,,,,
Uni Credit,0.4,--,--,0.3,0.4,0.4,--,0.5,,,,
UniCredit Bnk,--,--,0.3,--,--,--,--,--,,,,
Union Investment,0.3,0.3,0.3,0.4,--,0.4,0.3,0.3,,,,
WH,0.4,--,0.6,0.5,0.5,--,0.5,0.7,,,,
ZBW,0.4,0.3,0.5,0.5,0.5,--,0.6,0.5,,,,
,,,,,,,,,,,,
