Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q2 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,,,,
Median,0.5,0.4,0.4,0.3,0.3,0.5,0.5,0.6,,,,
Mean,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,,,,
Mode,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.6,,,,
Min,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,,,,
Max,0.5,0.8,0.7,0.6,0.8,0.8,0.9,0.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,20,,,,
Contributor,07-Oct-2009,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,,,,
Banco Santander,--,--,--,--,--,--,--,0.5,,,,
BayernLB,--,--,--,--,0.3,0.3,0.5,0.7,,,,
Citigroup,--,--,--,0.2,0.5,--,--,--,,,,
Commerzbank,--,0.4,0.3,0.3,--,0.6,0.6,0.3,,,,
DIW Berlin,--,--,--,0.4,0.5,0.3,0.5,0.4,,,,
DZ Bank,--,0.8,0.6,--,0.3,0.3,0.4,0.1,,,,
DekaBank,--,0.2,0.2,0.1,0.2,0.4,0.4,0.6,,,,
Deutsche,--,0.3,--,--,--,--,--,--,,,,
Deutsche Postbank,--,--,0.3,0.2,--,0.6,0.7,0.3,,,,
Eurozone Advisor,0.4,0.3,0.4,0.3,0.3,0.5,0.5,0.6,,,,
HSBC Hldg,--,--,--,--,--,--,--,0.2,,,,
HSBC Trink,--,--,0.3,--,--,0.3,0.4,--,,,,
IHS Markit,0.4,0.4,0.4,0.3,0.4,0.5,0.6,0.6,,,,
IfW,--,--,--,--,0.3,0.3,0.8,0.8,,,,
Kiel Economics,--,0.6,--,--,--,--,--,--,,,,
LBB,0.5,--,--,--,--,--,--,--,,,,
LBBW,--,--,--,--,--,--,0.3,--,,,,
Lbk Hessen,--,--,--,0.4,0.4,0.3,0.3,0.3,,,,
NORD/LB,--,--,0.3,0.3,0.3,0.5,--,0.7,,,,
ODDO BHF,0.2,0.3,0.7,0.6,0.8,0.6,0.2,0.5,,,,
Portigon,0.5,0.3,0.3,0.3,0.2,0.8,0.6,0.6,,,,
Rheinisch Westfa,--,--,0.4,0.4,0.3,0.4,0.6,0.6,,,,
Sal Oppenheim,--,0.6,0.5,0.5,0.5,0.4,0.4,0.6,,,,
Skand Ensk Bank,0.5,--,--,0.5,0.4,0.6,--,--,,,,
Uni Credit,--,0.3,0.3,0.3,--,0.5,--,--,,,,
Union Investment,--,0.3,--,0.2,0.2,0.2,0.2,0.3,,,,
WH,--,0.5,0.5,--,0.3,0.4,0.9,--,,,,
ZBW,0.5,0.5,0.5,--,0.5,0.5,0.4,0.6,,,,
,,,,,,,,,,,,
