Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2011,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,,,,
Median,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,,,,
Mean,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,,,,
Mode,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.5,,,,
Min,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0.2,,,,
Max,0.8,0.7,0.6,0.7,0.7,0.7,0.9,0.8,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,22,,,,
Contributor,06-Jan-2010,07-Apr-2010,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,,,,
Banco Santander,--,--,--,--,--,--,0.4,--,,,,
BayernLB,--,--,--,0.2,0.3,0.3,0.3,--,,,,
Berenberg,--,--,--,--,--,--,--,0.4,,,,
Bkhaus Lampe,--,--,--,--,--,--,--,0.5,,,,
Citigroup,--,--,0.2,0.2,--,--,--,--,,,,
Commerzbank,0.4,0.5,0.5,--,0.6,0.7,0.7,0.6,,,,
DIW Berlin,--,--,0.5,0.6,0.3,0.4,0.4,0.4,,,,
DZ Bank,0.8,0.7,--,0.4,0.7,0.5,0.2,0.5,,,,
DekaBank,0.5,0.5,0.3,0.4,0.4,0.6,0.6,--,,,,
Deutsche,0.2,--,--,--,--,--,--,--,,,,
Deutsche Postbank,--,0.5,0.5,--,0.4,0.5,0.5,0.2,,,,
Eurozone Advisor,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,,,,
HSBC Hldg,--,--,--,--,--,--,0.6,--,,,,
HSBC Trink,--,0.3,--,--,0.4,0.6,--,0.4,,,,
IHS Markit,0.6,0.6,0.4,0.5,0.5,0.3,0.3,0.6,,,,
IMK,--,--,--,--,--,--,--,0.8,,,,
IfW,--,--,--,0.3,0.3,0.5,0.5,0.4,,,,
Kiel Economics,0.6,--,--,--,--,--,--,--,,,,
LBBW,--,--,--,--,--,0.3,--,--,,,,
Lbk Hessen,--,--,0.4,0.4,0.4,0.3,0.4,0.4,,,,
NORD/LB,--,0.3,0.4,0.4,0.5,--,0.4,0.5,,,,
ODDO BHF,0.5,0.7,0.6,0.7,0.6,0.5,0.5,0.3,,,,
Portigon,0.4,0.4,0.3,0.4,0.6,0.6,0.4,0.5,,,,
Rheinisch Westfa,--,0.5,0.5,0.4,0.5,0.7,0.9,0.3,,,,
Sal Oppenheim,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.5,,,,
Skand Ensk Bank,--,--,0.5,0.4,0.5,--,--,--,,,,
Uni Credit,0.3,0.3,0.3,--,0.3,--,--,--,,,,
Union Investment,0.3,--,0.3,0.3,0.3,0.3,0.3,0.6,,,,
VP Bank,--,--,--,--,--,--,--,0.5,,,,
WH,0.5,0.5,--,0.4,0.5,0.5,--,0.7,,,,
ZBW,0.6,0.6,--,0.6,0.5,0.4,0.6,0.5,,,,
,,,,,,,,,,,,
