Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2012,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,,,,
Median,0.4,0.4,0.5,0.5,0.6,0.2,-0.1,0.1,,,,
Mean,0.4,0.4,0.5,0.5,0.5,0.2,-0.1,0.0,,,,
Mode,0.4,0.4,0.5,0.4,0.7,0.2,-0.1,0.1,,,,
Min,0.1,0.1,0.1,0.1,0.3,-0.2,-0.6,-0.6,,,,
Max,0.6,0.5,0.7,0.8,0.7,0.4,0.3,0.3,,,,
Standard Deviation,--,--,--,--,--,--,--,0.2,,,,
# Forecasts,--,--,--,--,--,--,--,23,,,,
Contributor,07-Jul-2010,06-Oct-2010,05-Jan-2011,06-Apr-2011,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,,,,
Banco Santander,--,--,--,--,0.6,--,-0.1,0.0,,,,
BayernLB,--,0.3,0.5,0.4,0.4,--,-0.1,--,,,,
Berenberg,--,--,--,--,--,-0.2,-0.3,-0.3,,,,
Bkhaus Lampe,--,--,--,--,--,0.4,0.1,0.2,,,,
Commerzbank,0.6,--,0.7,0.7,0.7,0.2,-0.2,0.1,,,,
DIW Berlin,--,--,0.3,0.4,0.5,0.2,-0.1,0.1,,,,
DZ Bank,--,0.4,0.3,0.4,0.7,0.4,0.3,0.2,,,,
DekaBank,--,--,0.6,0.6,0.6,--,-0.2,0.1,,,,
Deutsche Postbank,--,--,--,--,0.5,0.3,0.1,0.1,,,,
Eurozone Advisor,0.4,0.4,0.4,0.4,0.4,0.1,-0.1,0.0,,,,
HSBC Hldg,--,--,--,--,0.3,--,--,--,,,,
HSBC Trink,--,--,0.5,0.4,--,0.2,-0.5,0.0,,,,
IHS Markit,0.5,0.5,0.5,0.5,0.5,0.0,-0.1,0.1,,,,
IMK,--,--,--,--,--,0.2,-0.1,0.1,,,,
IfW,--,--,0.4,0.4,0.4,0.2,0.1,0.2,,,,
LBBW,--,--,--,0.5,--,--,--,0.0,,,,
Lbk Hessen,--,--,0.7,0.7,0.6,0.2,0.2,--,,,,
Mfi Asset Mgnt,--,--,--,--,--,--,-0.1,--,,,,
NORD/LB,0.4,0.4,0.4,--,0.5,0.3,-0.1,0.0,,,,
ODDO BHF,0.5,0.5,0.7,0.8,0.7,0.3,0.2,-0.2,,,,
Portigon,--,--,0.6,0.6,0.7,0.2,0.1,--,,,,
Rheinisch Westfa,--,--,--,0.6,0.6,0.2,0.0,0.3,,,,
Sal Oppenheim,--,--,0.6,0.6,0.4,0.3,0.2,0.2,,,,
Skand Ensk Bank,0.1,0.3,0.6,--,--,--,--,--,,,,
Uni Credit,0.4,--,0.5,--,--,--,--,--,,,,
Union Investment,--,--,0.7,0.7,0.7,0.4,0.2,0.2,,,,
VP Bank,--,--,--,--,--,0.0,-0.6,-0.6,,,,
WH,--,--,0.5,0.5,--,-0.1,-0.2,0.2,,,,
ZBW,--,--,--,0.5,0.6,0.3,-0.1,-0.1,,,,
,,,,,,,,,,,,
