Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2013,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,,,,
Median,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.3,,,,
Mean,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.3,,,,
Mode,0.4,0.3,0.4,0.4,0.4,0.3,0.2,0.2,,,,
Min,0.3,0.3,0.2,0.1,0.1,0.1,-0.2,0.1,,,,
Max,0.6,0.5,0.6,0.6,0.6,0.4,0.6,0.6,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,19 ,,,,
Contributor,06-Jul-2011,05-Oct-2011,04-Jan-2012,04-Apr-2012,04-Jul-2012,03-Oct-2012,02-Jan-2013,03-Apr-2013,,,,
Banco Santander,--,--,--,--,--,--,--,--,,,,
BayernLB,--,--,--,--,--,--,--,--,,,,
Berenberg,--,--,--,--,--,--,--,--,,,,
Bkhaus Lampe,--,--,--,--,--,--,--,--,,,,
Commerzbank,--,--,--,--,--,--,--,--,,,,
DIW Berlin,--,--,--,--,--,--,--,--,,,,
DZ Bank,--,--,--,--,--,--,--,--,,,,
DekaBank,--,--,--,--,--,--,--,--,,,,
Deutsche Postbank,--,--,--,--,--,--,--,--,,,,
Eurozone Advisor,--,--,--,--,--,--,--,--,,,,
HSBC Hldg,--,--,--,--,--,--,--,--,,,,
HSBC Trink,--,--,--,--,--,--,--,--,,,,
IHS Markit,--,--,--,--,--,--,--,--,,,,
IMK,--,--,--,--,--,--,--,--,,,,
IfW,--,--,--,--,--,--,--,--,,,,
LBBW,--,--,--,--,--,--,--,--,,,,
Lbk Hessen,--,--,--,--,--,--,--,--,,,,
Mfi Asset Mgnt,--,--,--,--,--,--,--,--,,,,
NORD/LB,--,--,--,--,--,--,--,--,,,,
ODDO BHF,--,--,--,--,--,--,--,--,,,,
Portigon,--,--,--,--,--,--,--,--,,,,
Rheinisch Westfa,--,--,--,--,--,--,--,--,,,,
Sal Oppenheim,--,--,--,--,--,--,--,--,,,,
Union Investment,--,--,--,--,--,--,--,--,,,,
VP Bank,--,--,--,--,--,--,--,--,,,,
WH,--,--,--,--,--,--,--,--,,,,
ZBW,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,
