Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q1 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,,,,,,
Median,0.5,0.5,0.5,0.4,0.3,0.5,,,,,,
Mean,0.5,0.5,0.5,0.4,0.3,0.5,,,,,,
Mode,0.4,0.5,0.5,0.4,0.3,0.5,,,,,,
Min,0.3,0.4,0.4,0.2,0.1,0.1,,,,,,
Max,0.8,0.8,0.6,0.5,0.5,0.7,,,,,,
Standard Deviation,--,--,--,--,--,0.2,,,,,,
# Forecasts,--,--,--,--,--,17,,,,,,
Contributor,01-Jan-2014,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,,,,,,
BNP Paribas Bk,--,--,--,--,--,0.7,,,,,,
Banco Santander,0.3,0.5,0.5,--,--,--,,,,,,
Barclays,--,--,--,--,--,0.7,,,,,,
BayernLB,0.4,0.4,0.5,0.4,0.5,0.5,,,,,,
Berenberg,0.6,0.5,0.6,0.4,0.1,--,,,,,,
CA CIB,--,--,--,--,--,0.5,,,,,,
Citigroup,0.4,--,--,--,--,--,,,,,,
Commerzbank,--,--,--,0.3,--,0.3,,,,,,
DIW Berlin,0.4,0.5,0.4,--,0.3,--,,,,,,
DZ Bank,0.5,0.5,0.4,0.3,0.4,--,,,,,,
DekaBank,--,0.5,0.5,--,0.3,0.7,,,,,,
Deutsche,--,--,--,0.2,--,--,,,,,,
Eurozone Advisor,0.4,0.4,0.4,0.2,0.3,0.5,,,,,,
HSBC Hldg,--,--,0.5,0.4,--,0.4,,,,,,
HWWI,--,--,--,--,0.3,--,,,,,,
IHS Markit,--,0.5,0.5,0.5,0.5,0.6,,,,,,
IMK,--,0.6,0.6,--,--,--,,,,,,
IfW,0.6,0.6,0.6,0.5,--,--,,,,,,
LBB,0.4,0.4,0.4,0.3,0.4,0.5,,,,,,
LBBW,--,--,--,--,--,0.5,,,,,,
Lbk Hessen,0.5,--,--,--,--,0.3,,,,,,
Mizuho Security,--,--,--,0.4,--,--,,,,,,
NORD/LB,0.6,--,--,--,0.3,0.6,,,,,,
ODDO BHF,--,--,--,--,--,0.1,,,,,,
RBC,--,--,--,0.4,--,--,,,,,,
Rheinisch Westfa,--,0.5,0.5,0.4,0.3,0.5,,,,,,
Sal Oppenheim,--,--,0.5,0.4,--,--,,,,,,
Uni Credit,--,--,--,--,--,0.4,,,,,,
Union Investment,0.8,0.8,--,--,0.5,--,,,,,,
WH,0.5,0.4,0.4,--,0.2,0.6,,,,,,
ZBW,0.4,0.5,0.6,0.5,--,--,,,,,,
,,,,,,,,,,,,
