Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG - LONG-TERM OUTLOOK,,,,,,,,,,,
Forecast Horizon,Q3 2015,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Thomson Reuters,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,,,,,
Median,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
Mean,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,
Mode,0.4,0.5,0.5,0.5,0.5,0.5,0.4,,,,,
Min,0.3,0.3,0.3,0.4,0.3,0.3,0.2,,,,,
Max,0.7,0.7,0.7,0.6,0.8,0.6,0.6,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,14 ,,,,,
Contributor,09-Apr-2014,16-Jul-2014,16-Oct-2014,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,,,,,
BNP Paribas Bk,--,--,--,--,0.8,--,--,,,,,
Banco Santander,0.4,0.4,--,--,--,--,--,,,,,
Barclays,--,--,--,--,0.3,--,0.4,,,,,
BayernLB,0.5,0.5,0.5,0.4,0.5,--,--,,,,,
Berenberg,0.6,0.6,0.6,0.6,--,--,--,,,,,
BoFAML,--,--,--,--,--,0.6,--,,,,,
CA CIB,--,--,--,--,0.5,--,0.4,,,,,
Commerzbank,--,--,0.4,--,0.4,--,--,,,,,
DIW Berlin,0.5,0.5,--,0.5,--,--,--,,,,,
DZ Bank,0.6,0.3,0.3,0.4,--,--,--,,,,,
DekaBank,0.4,0.4,--,0.5,0.5,0.5,0.3,,,,,
Deutsche,--,--,0.5,--,--,--,0.2,,,,,
Eurozone Advisor,0.5,0.5,0.4,0.6,0.5,0.6,0.5,,,,,
HSBC Hldg,--,--,0.5,--,0.4,0.4,0.4,,,,,
HWWI,--,--,--,0.5,--,0.6,0.6,,,,,
IHS Markit,0.4,0.4,0.5,0.6,0.6,0.5,0.6,,,,,
IMK,0.6,0.6,--,--,--,--,--,,,,,
IfW,0.6,0.7,0.7,--,--,--,--,,,,,
Intesa Sanpaolo,--,--,--,--,--,--,0.4,,,,,
LBB,0.3,0.4,0.4,0.4,0.4,0.5,0.6,,,,,
LBBW,--,--,--,--,0.3,--,--,,,,,
Lbk Hessen,--,--,--,--,0.5,0.5,0.5,,,,,
Mizuho Security,--,--,0.5,--,--,--,--,,,,,
NORD/LB,--,--,--,0.5,0.4,--,--,,,,,
ODDO BHF,--,--,--,--,0.5,0.3,--,,,,,
Rheinisch Westfa,0.5,0.6,0.5,0.5,0.6,0.6,0.5,,,,,
Sal Oppenheim,--,0.5,0.6,--,--,--,--,,,,,
Uni Credit,--,--,--,--,0.6,0.6,0.6,,,,,
Union Investment,0.7,--,--,0.6,--,--,--,,,,,
WH,0.4,0.4,--,0.5,0.4,0.5,0.5,,,,,
ZBW,0.4,0.5,0.5,--,--,--,--,,,,,
,,,,,,,,,,,,
