Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q2 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,,,,,
Median,0.4,0.4,0.4,0.4,0.5,0.3,0.3,,,,,
Mean,0.4,0.4,0.4,0.4,0.5,0.3,0.3,,,,,
Mode,0.4,0.4,0.4,0.4,0.4,0.3,0.2,,,,,
Min,0.3,0.3,0.3,0.3,0.4,0.1,0.1,,,,,
Max,0.6,0.5,0.6,0.5,0.6,0.6,0.4,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,12 ,,,,,
Contributor,15-Jan-2015,22-Apr-2015,23-Jul-2015,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,,,,,
Barclays,--,0.4,--,0.4,--,--,--,,,,,
BayernLB,0.4,0.4,--,--,--,--,--,,,,,
Berenberg,0.6,--,--,--,--,--,--,,,,,
Berliner Spark,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,
BofAML,--,--,0.6,--,--,--,--,,,,,
CA CIB,--,0.4,--,0.4,--,0.3,--,,,,,
Commerzbk,--,0.4,--,--,--,--,--,,,,,
DIW Berlin,0.4,--,--,--,--,--,--,,,,,
DZ Bank,0.3,--,--,--,0.4,0.5,--,,,,,
DekaBank,0.5,0.5,0.4,0.4,0.4,0.3,0.2,,,,,
Deutsche Bank,--,--,--,0.4,--,0.3,--,,,,,
Eurozone Advisor,0.4,0.4,0.4,0.5,0.5,0.4,0.2,,,,,
HSBC Hldg,--,0.5,0.3,--,--,0.3,0.1,,,,,
HWWI,--,--,0.3,0.3,--,--,--,,,,,
Helaba,--,0.3,0.3,0.3,0.5,--,0.3,,,,,
IHS Global Insight,0.4,0.5,0.5,0.5,0.6,0.6,0.4,,,,,
Intesa Sanpaolo,--,--,--,0.4,0.4,--,--,,,,,
LBBW,--,0.5,--,--,--,--,--,,,,,
MM Warburg,--,--,--,--,--,0.3,--,,,,,
NORD/LB,0.3,0.5,--,--,0.5,0.2,0.2,,,,,
ODDO BHF,--,0.5,0.5,--,0.5,0.2,--,,,,,
Oppenheim,--,--,--,--,0.4,0.4,0.3,,,,,
RGE,--,--,--,--,0.4,--,0.4,,,,,
Rheinisch Westfa,--,0.4,0.4,0.4,0.4,0.3,0.3,,,,,
Uni Credit,--,0.5,0.5,0.5,0.5,0.5,--,,,,,
Union Investment,0.3,--,--,--,--,0.3,0.2,,,,,
WH,0.4,0.4,0.4,0.4,0.5,0.1,0.2,,,,,
,,,,,,,,,,,,
