Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q4 2016,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,,,,,,
Median,0.4,0.4,0.4,0.3,0.4,0.5,,,,,,
Mean,0.4,0.4,0.4,0.3,0.4,0.4,,,,,,
Mode,0.4,0.4,0.4,0.2,0.4,0.5,,,,,,
Min,0.2,0.3,0.3,0.1,0.2,0.2,,,,,,
Max,0.5,0.5,0.5,0.5,0.5,0.6,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,17 ,,,,,,
Contributor,15-Oct-2015,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,,,,,,
Barclays,0.4,--,--,--,0.3,0.3,,,,,,
BayernLB,--,--,--,--,--,0.3,,,,,,
Berliner Spark,0.3,0.3,0.3,0.2,--,--,,,,,,
BofAML,--,--,--,--,--,0.4,,,,,,
CA CIB,0.4,--,0.4,--,0.4,--,,,,,,
Credit Suisse,--,--,--,--,0.3,--,,,,,,
DIW Berlin,--,--,--,--,0.2,--,,,,,,
DZ Bank,--,0.4,0.4,--,--,0.4,,,,,,
DekaBank,0.4,0.4,0.4,0.2,0.4,0.6,,,,,,
Deutsche Bank,0.3,--,0.5,--,0.5,0.5,,,,,,
Eurozone Advisor,0.5,0.5,0.3,0.4,0.5,0.5,,,,,,
HSBC Hldg,--,--,0.4,0.2,--,0.4,,,,,,
HWWI,0.3,--,--,--,--,--,,,,,,
Helaba,0.2,0.3,--,0.3,0.4,0.5,,,,,,
IHS Global Insight,0.4,0.4,0.4,0.1,0.5,0.5,,,,,,
Intesa Sanpaolo,--,0.4,--,--,0.3,0.4,,,,,,
Julius Baer,--,--,--,--,--,0.5,,,,,,
MM Warburg,--,--,0.4,--,--,--,,,,,,
NORD/LB,--,0.5,0.5,0.2,0.4,0.6,,,,,,
ODDO BHF,--,0.3,0.3,--,0.4,--,,,,,,
Oppenheim,--,0.5,0.5,0.4,0.4,0.5,,,,,,
RGE,--,0.5,--,0.3,--,--,,,,,,
Rheinisch Westfa,0.4,0.5,0.5,0.5,0.4,0.3,,,,,,
Uni Credit,0.4,0.4,0.4,--,0.3,0.2,,,,,,
Union Investment,--,--,0.3,0.3,0.2,--,,,,,,
WH,0.4,0.4,0.4,0.5,0.4,0.5,,,,,,
,,,,,,,,,,,,
