Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q1 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,,,,,,
Median,0.4,0.5,0.3,0.4,0.4,0.5,,,,,,
Mean,0.4,0.4,0.4,0.4,0.4,0.5,,,,,,
Mode,0.4,0.5,0.3,0.4,0.4,0.6,,,,,,
Min,0.3,0.2,0.2,0.1,0.2,0.4,,,,,,
Max,0.5,0.5,0.5,0.5,0.5,0.7,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,17 ,,,,,,
Contributor,14-Jan-2016,14-Apr-2016,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,,,,,,
Barclays,--,--,--,0.1,0.3,--,,,,,,
BayernLB,--,--,--,--,0.3,0.5,,,,,,
Berliner Spark,0.3,0.3,0.3,--,--,0.6,,,,,,
BofAML,--,--,--,--,0.4,--,,,,,,
CA CIB,--,0.3,--,0.4,--,0.5,,,,,,
Citigroup,--,--,--,--,--,0.5,,,,,,
Credit Suisse,--,--,--,0.4,--,--,,,,,,
DIW Berlin,--,--,--,0.3,--,0.6,,,,,,
DZ Bank,0.5,0.5,--,--,0.4,--,,,,,,
DekaBank,0.4,0.5,0.4,0.4,0.4,0.6,,,,,,
Deutsche Bank,--,--,--,--,0.4,0.4,,,,,,
Eurozone Advisor,0.5,0.3,0.5,0.4,0.4,0.6,,,,,,
HSBC Hldg,--,0.5,0.4,--,0.5,0.5,,,,,,
Helaba,0.4,--,0.3,0.4,0.3,0.4,,,,,,
IHS Global Insight,0.5,0.5,0.3,0.5,0.4,0.7,,,,,,
Intesa Sanpaolo,--,--,--,0.4,0.5,0.5,,,,,,
Julius Baer,--,--,--,--,0.4,--,,,,,,
NORD/LB,0.5,0.5,0.3,0.4,0.4,0.6,,,,,,
ODDO BHF,0.5,0.5,--,0.4,--,--,,,,,,
Oppenheim,0.4,0.4,0.3,0.3,0.4,0.7,,,,,,
RGE,0.4,--,0.3,--,--,--,,,,,,
Rheinisch Westfa,0.5,0.5,0.5,0.5,0.4,0.4,,,,,,
Uni Credit,0.4,0.4,--,0.2,0.2,0.6,,,,,,
Union Investment,--,0.2,0.2,0.2,--,--,,,,,,
WH,0.4,0.4,0.5,0.4,0.3,0.4,,,,,,
,,,,,,,,,,,,
