Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q3 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,,,,,,
Median,0.4,0.4,0.4,0.4,0.5,0.5,,,,,,
Mean,0.4,0.4,0.4,0.4,0.5,0.5,,,,,,
Mode,0.4,0.4,0.4,0.4,0.5,0.5,,,,,,
Min,0.1,0.3,0.2,0.3,0.4,0.3,,,,,,
Max,0.5,0.5,0.6,0.5,0.6,0.7,,,,,,
Standard Deviation,--,--,--,--,--,0.1,,,,,,
# Forecasts,--,--,--,--,--,21,,,,,,
Contributor,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,,,,,,
Banque Pictet,--,--,--,--,--,0.5,,,,,,
Barclays,--,0.4,0.2,--,0.5,0.5,,,,,,
BayernLB,--,--,0.5,0.3,0.6,0.6,,,,,,
Berenberg,--,--,--,--,0.5,0.5,,,,,,
Berliner Spark,0.2,--,--,0.4,0.4,0.6,,,,,,
BofAML,--,--,0.4,--,--,--,,,,,,
CA CIB,--,0.4,--,0.5,0.5,0.6,,,,,,
Citigroup,--,--,--,0.4,0.6,--,,,,,,
Commerzbk,--,--,--,--,--,0.3,,,,,,
Credit Suisse,--,0.4,--,--,0.5,0.6,,,,,,
DIW Berlin,--,0.4,--,0.4,0.5,0.4,,,,,,
DZ Bank,--,--,0.4,--,0.5,0.7,,,,,,
DekaBank,0.2,0.4,0.4,0.4,0.5,0.5,,,,,,
Deutsche Bank,--,--,0.4,0.4,0.6,--,,,,,,
Eurozone Advisor,0.4,0.3,0.3,0.4,0.4,0.5,,,,,,
HSBC Hldg,0.4,--,0.4,0.4,0.4,0.6,,,,,,
Helaba,0.4,0.4,0.4,0.4,--,0.5,,,,,,
IHS Global Insight,0.5,0.5,0.6,0.5,--,0.7,,,,,,
Intesa Sanpaolo,--,0.3,0.4,0.4,--,0.5,,,,,,
Julius Baer,--,--,0.5,--,0.5,--,,,,,,
NORD/LB,0.4,0.4,0.4,0.4,0.5,0.5,,,,,,
ODDO BHF,--,0.5,--,--,--,--,,,,,,
Oppenheim,0.4,0.4,0.3,0.3,--,0.6,,,,,,
Postbank,--,--,--,--,0.4,--,,,,,,
RGE,--,--,--,--,0.4,--,,,,,,
Rheinisch Westfa,0.5,0.5,0.4,0.5,0.5,0.6,,,,,,
Uni Credit,--,0.3,0.3,0.5,0.6,0.6,,,,,,
Union Investment,0.1,0.3,--,--,--,--,,,,,,
WH,0.4,0.4,0.5,0.5,--,0.5,,,,,,
,,,,,,,,,,,,
