Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q4 2017,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,,,,,
Median,0.4,0.4,0.4,0.4,0.4,0.5,0.6,,,,,
Mean,0.4,0.4,0.4,0.4,0.4,0.5,0.6,,,,,
Mode,0.3,0.3,0.4,0.5,0.4,0.5,0.5,,,,,
Min,0.0,0.2,0.3,0.3,0.3,0.3,0.5,,,,,
Max,0.5,0.5,0.6,0.5,0.6,0.6,0.9,,,,,
Standard Deviation,--,--,--,--,--,--,0.1,,,,,
# Forecasts,--,--,--,--,--,--,15 ,,,,,
Contributor,20-Jul-2016,13-Oct-2016,12-Jan-2017,12-Apr-2017,14-Jul-2017,19-Oct-2017,19-Jan-2018,,,,,
Banque Pictet,--,--,--,--,--,0.5,--,,,,,
Barclays,--,0.5,0.5,--,0.4,0.4,0.7,,,,,
BayernLB,--,--,0.5,0.4,0.4,0.4,--,,,,,
Berenberg,--,--,--,--,0.4,0.4,0.6,,,,,
Berliner Spark,0.4,--,--,0.4,0.3,0.3,0.5,,,,,
BofAML,--,--,0.4,--,--,--,--,,,,,
CA CIB,--,0.4,--,0.5,0.5,0.5,0.9,,,,,
Citigroup,--,--,--,0.5,0.6,--,--,,,,,
Commerzbk,--,--,--,--,--,0.5,--,,,,,
Credit Suisse,--,0.4,--,--,0.5,0.6,--,,,,,
DIW Berlin,--,0.4,--,0.4,0.4,0.4,--,,,,,
DZ Bank,--,--,0.4,--,0.5,0.5,--,,,,,
Daiwa Cap Mkts,--,--,--,--,--,--,0.8,,,,,
DekaBank,0.3,0.3,0.3,0.4,0.4,0.5,0.7,,,,,
Deutsche Bank,--,--,0.4,0.4,0.5,--,0.6,,,,,
Eurozone Advisor,0.3,0.3,0.4,0.5,0.5,0.5,--,,,,,
HSBC Hldg,0.3,--,0.3,0.3,0.4,0.4,0.7,,,,,
Helaba,0.3,0.3,0.3,0.3,--,0.4,0.5,,,,,
IHS Global Insight,0.5,0.5,0.6,0.5,--,0.6,0.6,,,,,
Intesa Sanpaolo,--,--,0.5,0.5,--,0.4,--,,,,,
Julius Baer,--,--,0.4,--,0.4,--,0.5,,,,,
NORD/LB,0.5,0.5,0.5,0.5,0.5,0.6,0.8,,,,,
ODDO BHF,--,0.3,--,--,--,--,--,,,,,
Oppenheim,0.4,0.4,0.3,0.3,--,0.5,--,,,,,
Postbank,--,--,--,--,0.4,--,--,,,,,
RGE,--,--,--,--,0.4,--,--,,,,,
Rheinisch Westfa,0.5,0.5,0.4,0.5,0.5,0.5,0.6,,,,,
Uni Credit,--,0.3,0.3,0.5,0.5,0.5,0.5,,,,,
Union Investment,0.0,0.2,--,--,--,--,--,,,,,
WH,0.4,0.4,0.4,0.4,--,0.6,0.5,,,,,
,,,,,,,,,,,,
