Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q4 2019,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,,,,
Median,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0.0,,,,
Mean,0.4,0.4,0.4,0.4,0.4,0.3,0.0,0.0,,,,
Mode,0.4,0.4,0.4,0.4,0.4,0.2,0.1,0.0,,,,
Min,-0.1,0.3,0.2,0.2,0.2,0.1,-0.2,-0.1,,,,
Max,0.5,0.5,0.6,0.6,0.4,0.4,0.3,0.1,,,,
Standard Deviation,--,--,--,--,--,--,--,0.1,,,,
# Forecasts,--,--,--,--,--,--,--,11 ,,,,
Contributor,16-Apr-2018,18-Jul-2018,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,,,,
BMO,--,--,0.5,--,--,--,--,--,,,,
Barclays,0.4,0.4,0.4,0.5,0.4,0.1,0.1,0.1,,,,
BayernLB,0.4,0.4,--,--,--,--,--,--,,,,
Berenberg,0.5,0.5,0.4,0.4,0.4,--,-0.1,0.0,,,,
Berliner Spark,0.4,0.3,0.3,0.2,0.4,--,0.1,0.0,,,,
CA CIB,--,0.5,0.4,0.4,--,--,--,--,,,,
Capital Econ,--,--,--,--,--,--,-0.1,--,,,,
Citigroup,--,--,0.5,0.4,0.4,0.2,0.1,--,,,,
Commerzbk,--,0.5,--,--,--,0.3,--,--,,,,
DIW Berlin,0.4,0.4,0.4,--,--,--,--,-0.1,,,,
DZ Bank,0.5,0.5,0.3,0.3,--,0.2,--,--,,,,
Daiwa Cap Mkts,--,0.5,--,0.3,0.3,0.2,0.1,--,,,,
DekaBank,--,0.4,0.4,--,--,--,--,--,,,,
Deutsche Bank,--,--,--,0.3,--,--,-0.1,--,,,,
Eurozone Advisor,0.4,--,0.3,0.3,0.4,0.3,0.0,0.1,,,,
Fitch Rating,--,--,--,--,--,0.3,0.2,--,,,,
HSBC Hldg,--,--,--,0.2,0.3,0.2,-0.2,0.1,,,,
Helaba,0.4,0.4,0.4,0.6,--,0.4,0.3,--,,,,
IHS Markit,0.4,0.4,0.2,0.2,0.2,0.2,-0.1,0.0,,,,
IMK,--,--,--,--,--,--,0.0,--,,,,
ING Fin Mkts,--,--,--,0.5,--,--,--,--,,,,
Julius Baer,-0.1,--,0.3,--,0.4,--,0.1,--,,,,
LBBW,--,0.5,0.6,0.3,--,0.3,--,0.1,,,,
NORD/LB,0.4,0.4,0.4,0.4,--,0.3,0.0,0.0,,,,
Nomura,--,--,--,0.4,--,--,--,--,,,,
Postbank,--,--,0.3,0.4,0.3,--,-0.1,--,,,,
Rheinisch Westfa,0.5,0.4,0.4,--,--,--,--,--,,,,
Uni Credit,0.4,--,0.4,--,0.3,0.2,0.1,0.1,,,,
WH,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.0,,,,
,,,,,,,,,,,,
