Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q1 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,,,,,
Median,0.4,0.4,0.3,0.3,0.2,0.2,-2.0,,,,,
Mean,0.4,0.3,0.3,0.3,0.2,0.2,-1.9,,,,,
Mode,0.3,0.4,0.3,0.2,0.1,0.1,-2.0,,,,,
Min,0.3,-0.1,0.2,0.2,-0.1,0.1,-3.5,,,,,
Max,0.4,0.4,0.4,0.5,0.4,0.4,0.0,,,,,
Standard Deviation,--,--,--,--,--,--,1.0,,,,,
# Forecasts,--,--,--,--,--,--,16,,,,,
Contributor,15-Oct-2018,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,,,,,
BNP Paribas,--,--,--,--,--,--,-3.3,,,,,
Barclays,--,0.4,0.4,0.3,0.1,0.1,-1.6,,,,,
Berenberg,0.4,0.4,0.4,--,0.1,0.1,-2.0,,,,,
Berliner Spark,0.4,0.2,0.3,--,0.2,0.1,-2.7,,,,,
CA CIB,--,0.3,--,--,--,--,--,,,,,
Capital Econ,--,--,--,--,-0.1,--,--,,,,,
Citigroup,0.4,0.4,0.4,0.2,0.1,--,--,,,,,
Commerzbank UK,--,--,--,0.3,--,--,--,,,,,
DIW Berlin,0.3,--,--,--,--,0.4,0.0,,,,,
DZ Bank,--,0.2,--,0.2,--,--,-3.0,,,,,
Daiwa Cap Mkts,--,--,0.3,0.2,0.1,--,-1.8,,,,,
Deutsche Bank,--,--,--,--,--,--,-2.6,,,,,
Eurozone Advisor,0.3,0.4,0.3,0.4,0.2,0.3,--,,,,,
Fitch Rating,--,--,--,0.3,0.3,--,-0.4,,,,,
HSBC Hldg,--,--,0.4,0.2,0.2,0.1,-1.2,,,,,
Helaba,--,0.3,--,0.5,0.4,0.3,-1.0,,,,,
IHS Markit,0.3,0.2,0.2,0.3,0.2,0.1,-1.1,,,,,
IMK,--,--,--,--,0.1,--,--,,,,,
ING Fin Mkts,--,0.4,--,--,--,--,--,,,,,
Julius Baer,--,--,0.3,--,0.3,--,--,,,,,
LBBW,--,-0.1,--,0.2,--,0.2,-2.0,,,,,
NORD/LB,--,0.4,--,0.3,--,0.2,-3.5,,,,,
Nomura,--,0.3,--,--,--,--,--,,,,,
Postbank,--,0.4,0.2,--,0.4,--,--,,,,,
Rheinisch Westfa,0.4,--,--,--,--,--,--,,,,,
Uni Credit,--,--,0.2,0.2,0.2,0.2,-2.5,,,,,
WH,0.3,0.4,0.3,0.4,0.3,0.2,-1.9,,,,,
,,,,,,,,,,,,
