Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q2 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,,,,
Median,0.4,0.3,0.3,0.2,0.2,-9.5,-9.7,-8.9,,,,
Mean,0.3,0.3,0.3,0.2,0.2,-8.6,-9.8,-9.2,,,,
Mode,0.4,0.3,0.3,0.2,0.2,-9.5,--,-8.5,,,,
Min,-0.1,0.0,0.1,-0.1,0.0,-18.5,-14.5,-11.1,,,,
Max,0.4,0.4,0.4,0.4,0.3,-0.9,-7.0,-7.0,,,,
Standard Deviation,--,--,--,--,--,--,--,1.4,,,,
# Forecasts,--,--,--,--,--,--,--,13,,,,
Contributor,17-Jan-2019,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,,,,
BMO,--,--,--,--,--,--,--,-10.6,,,,
BNP Paribas,--,--,--,--,--,-10.3,-7.5,--,,,,
Barclays,0.3,0.4,0.3,-0.1,0.2,-9.5,-11.1,-11.1,,,,
Berenberg,0.4,0.4,--,0.3,0.2,-7.5,--,-8.5,,,,
Berliner Spark,0.2,0.3,--,0.3,0.2,-7.7,-7.9,--,,,,
CA CIB,0.3,--,--,--,--,--,--,--,,,,
Capital Econ,--,--,--,-0.1,--,--,--,--,,,,
Citigroup,0.4,0.4,0.2,0.2,--,--,-10.4,-9.6,,,,
Commerzbank UK,--,--,0.3,--,--,--,-11.0,-11.0,,,,
DIW Berlin,--,--,--,--,0.3,-0.9,--,--,,,,
DZ Bank,0.2,--,0.2,--,--,-3.1,--,--,,,,
Daiwa Cap Mkts,--,0.3,0.3,0.2,--,-10.0,--,-7.0,,,,
Deutsche Bank,--,--,--,--,--,-9.6,--,--,,,,
Eurozone Advisor,0.4,0.3,0.4,0.2,0.0,--,--,--,,,,
Fitch Rating,--,--,0.3,0.2,--,-6.7,--,--,,,,
HSBC Hldg,--,0.4,0.4,0.2,0.2,-12.2,--,--,,,,
Helaba,0.4,--,0.3,0.3,0.3,-5.4,-7.0,-7.0,,,,
IHS Markit,0.3,0.3,0.3,0.3,0.2,-6.0,-9.5,-9.5,,,,
IMK,--,--,--,0.2,--,--,--,--,,,,
ING Fin Mkts,0.4,--,--,--,--,--,--,--,,,,
JP Morgan,--,--,--,--,--,--,--,-8.5,,,,
Julius Baer,--,0.0,--,0.4,--,--,--,--,,,,
LBBW,-0.1,--,0.2,--,0.2,-9.5,--,--,,,,
NORD/LB,0.4,--,0.3,--,0.3,-11.5,-9.9,-8.5,,,,
Nomura,0.3,--,--,--,--,--,--,--,,,,
Postbank,0.4,0.2,--,0.2,--,--,--,--,,,,
Societe Generale,--,--,--,--,--,--,--,-8.7,,,,
Uni Credit,--,0.1,0.1,0.1,0.1,-18.5,-14.5,-11.0,,,,
WH,0.4,0.3,0.4,0.3,0.3,-9.8,-8.9,-8.9,,,,
,,,,,,,,,,,,
