Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q3 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,22-Oct-2020,,,,
Median,0.3,0.3,0.3,0.3,5.4,5.9,6.6,7.0,,,,
Mean,0.2,0.3,0.3,0.3,5.0,6.0,6.9,7.0,,,,
Mode,0.4,0.4,0.3,0.3,3.0,--,3.5,5.6,,,,
Min,-0.3,0.0,0.0,0.0,0.2,2.1,3.5,4.9,,,,
Max,0.4,0.4,0.5,0.5,9.0,8.8,11.3,10.3,,,,
Standard Deviation,--,--,--,--,--,--,--,1.3,,,,
# Forecasts,--,--,--,--,--,--,--,16,,,,
Contributor,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,22-Oct-2020,,,,
BMO,--,--,--,--,--,--,11.3,--,,,,
BNP Paribas,--,--,--,--,8.0,3.3,--,7.2,,,,
Bantleon Bank,--,--,--,--,--,--,--,8.5,,,,
Barclays,0.4,0.3,0.2,0.3,7.2,8.3,8.3,8.2,,,,
Berenberg,0.4,--,0.4,0.4,4.8,--,4.2,7.3,,,,
Berliner Spark,0.2,--,0.3,0.3,3.0,2.1,--,--,,,,
CA CIB,--,--,--,--,--,--,--,7.7,,,,
Capital Econ,--,--,0.1,--,--,--,--,--,,,,
Citigroup,0.4,0.4,0.4,--,--,8.8,6.6,10.3,,,,
Commerzbank UK,--,0.3,--,--,--,8.4,8.4,--,,,,
Continuum Econ,--,--,--,--,--,--,--,5.6,,,,
DIW Berlin,--,--,--,0.3,0.2,--,--,5.6,,,,
DZ Bank,--,0.2,--,--,0.9,--,--,6.8,,,,
Daiwa Cap Mkts,--,0.2,0.1,--,6.5,--,3.5,7.5,,,,
Deutsche Bank,--,--,--,--,8.7,--,--,--,,,,
Eurozone Advisor,0.2,0.4,0.3,0.1,--,--,--,--,,,,
Fitch Rating,--,--,--,--,2.0,--,--,--,,,,
HSBC Hldg,--,0.4,0.2,0.2,8.0,--,--,5.6,,,,
Helaba,--,0.3,0.5,0.5,3.1,3.5,3.5,4.9,,,,
IHS Markit,0.4,0.4,0.2,0.2,1.5,5.7,5.7,7.0,,,,
IMK,--,--,0.2,--,--,--,--,--,,,,
JP Morgan,--,--,--,--,--,--,10.0,--,,,,
Julius Baer,-0.3,--,0.3,--,--,--,--,--,,,,
LBBW,--,0.2,--,0.2,3.0,--,--,--,,,,
NORD/LB,--,0.3,--,0.3,6.0,5.5,3.8,--,,,,
Postbank,0.3,--,0.3,--,--,--,--,--,,,,
Societe Generale,--,--,--,--,--,--,10.4,6.8,,,,
Uni Credit,0.0,0.0,0.0,0.0,9.0,8.0,8.0,7.0,,,,
WH,0.3,0.4,0.3,0.4,8.5,6.1,6.1,6.5,,,,
,,,,,,,,,,,,
