Economic Indicator Polls,,,,,,,,,,,,
Long-term Outlook - Poll History,,,,,,,,,,,,
Indicator,Germany - GDP QUARTERLY % CHG ,,,,,,,,,,,
Forecast Horizon,Q4 2020,,,,,,,,,,,
Unit,%,,,,,,,,,,,
,,,,,,,,,,,,
This material may not be reproduced or redistributed in whole or in part without express written consent of Refinitiv,,,,,,,,,,,,
,,,,,,,,,,,,
Consensus,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,22-Oct-2020,18-Jan-2021,,,
Median,0.3,0.3,0.3,0.3,2.1,2.7,2.6,1.5,-0.5,,,
Mean,0.3,0.3,0.2,0.3,2.6,2.8,2.5,1.8,-0.7,,,
Mode,0.3,0.1,0.3,0.3,1.6,--,1.0,1.4,-1.5,,,
Min,-0.1,0.1,0.0,0.0,-0.6,1.8,1.0,0.9,-1.5,,,
Max,0.4,0.5,0.5,0.4,9.0,5.0,5.0,4.1,0.1,,,
Standard Deviation,--,--,--,--,--,--,--,--,0.5,,,
# Forecasts,--,--,--,--,--,--,--,--,13,,,
Contributor,04-Apr-2019,17-Jul-2019,17-Oct-2019,16-Jan-2020,22-Apr-2020,21-Jul-2020,28-Jul-2020,22-Oct-2020,18-Jan-2021,,,
BMO,--,--,--,--,--,--,2.5,--,--,,,
BNP Paribas,--,--,--,--,3.9,2.8,--,1.6,--,,,
Bantleon Bank,--,--,--,--,--,--,--,1.0,--,,,
Barclays,0.4,0.4,0.3,0.3,3.3,2.6,2.6,1.0,-0.2,,,
Berenberg,0.4,--,0.4,0.4,1.9,--,2.7,1.4,-0.5,,,
Berliner Spark,0.2,--,0.2,0.3,-0.6,1.8,--,--,-0.4,,,
CA CIB,--,--,--,--,--,--,--,1.1,--,,,
Capital Econ,--,--,0.1,--,--,--,--,--,--,,,
Citigroup,0.4,0.5,0.4,--,--,1.9,2.7,1.4,--,,,
Commerzbank UK,--,0.2,--,--,--,3.5,3.5,--,--,,,
Continuum Econ,--,--,--,--,--,--,--,2.6,--,,,
DIW Berlin,--,--,--,0.3,0.6,--,--,1.3,--,,,
DZ Bank,--,0.2,--,--,1.6,--,--,2.4,--,,,
Daiwa Cap Mkts,--,0.1,0.1,--,3.5,--,1.0,1.5,-0.5,,,
Deutsche Bank,--,--,--,--,1.6,--,--,--,-1.5,,,
Eurozone Advisor,0.2,0.3,0.3,0.1,--,--,--,--,--,,,
Fitch Rating,--,--,--,--,2.8,--,--,--,-1.1,,,
HSBC Hldg,--,--,0.2,0.2,1.7,--,--,2.7,-1.5,,,
Helaba,--,0.5,0.5,0.4,2.1,3.3,3.3,4.1,-0.3,,,
IHS Markit,0.3,0.4,0.2,0.2,1.2,3.0,3.0,1.4,-0.6,,,
IMK,--,--,0.3,--,--,--,--,--,0.1,,,
JP Morgan,--,--,--,--,--,--,1.3,--,--,,,
Julius Baer,-0.1,--,0.0,--,--,--,--,--,--,,,
LBBW,--,0.1,--,0.2,2.0,--,--,--,-1.0,,,
NORD/LB,--,0.3,--,0.3,4.0,2.0,1.2,--,-1.3,,,
Postbank,0.3,--,0.3,--,--,--,--,--,--,,,
Societe Generale,--,--,--,--,--,--,1.0,0.9,--,,,
Uni Credit,0.1,0.1,0.1,0.0,9.0,5.0,5.0,2.0,--,,,
WH,0.3,0.4,0.3,0.4,3.1,2.2,2.2,2.1,-0.3,,,
,,,,,,,,,,,,
